"Date","Time","group name","Distance along tape","Distance along tape","Plant type?","Litter","Groundcover Identification","Ground Cover","Trees/shrubs identification","Active Burrows","Inactive Burrows",">2cm","DunePostition","Latitude","Longitude","Accuracy"
"30/06/2015","8:14:28 AM","Crabby","","","","","","","","","","","","","",""
"30/06/2015","8:18:43 AM","Crabby","","","","","","","","","","","","-25.59896297","153.09145811","5.2"
"30/06/2015","8:29:11 AM","Crabby","100","","Litter Cover","1","","","","","","","","","",""
"30/06/2015","8:30:25 AM","Crabby","100","","Groundcover Plants","","Beach Spinifex","5","","","","","","","",""
"30/06/2015","8:33:22 AM","Crabby","100","","Crab data","","","","","1","1","0","","","",""
"30/06/2015","8:33:58 AM","Crabby","","100","Dune Position","","","","","","","","Upslope","-25.60023995","153.09461976","1.7"
"30/06/2015","8:41:29 AM","Crabby","5","","Litter Cover","0","","","","","","","","","",""
"30/06/2015","8:42:01 AM","Crabby","5","","Groundcover Plants","","Beach Spinifex","15","","","","","","","",""
"30/06/2015","8:43:38 AM","Crabby","5","","Crab data","","","","","0","100","0","","","",""
"30/06/2015","8:43:44 AM","Crabby","","5","Dune Position","","","","","","","","Upslope","-25.60052966","153.09452915","1.4"
"30/06/2015","8:44:20 AM","Crabby","0","","Litter Cover","0","","","","","","","","","",""
"30/06/2015","8:44:33 AM","Crabby","0","","Crab data","","","","","0","0","0","","","",""
"30/06/2015","8:45:04 AM","Crabby","","0","Dune Position","","","","","","","","Upslope","-25.6005456","153.09454714","1.4"
"30/06/2015","8:45:30 AM","Crabby","10","","Litter Cover","1","","","","","","","","","",""
"30/06/2015","8:45:44 AM","Crabby","10","","Groundcover Plants","","Beach Spinifex","60","","","","","","","",""
"30/06/2015","8:46:02 AM","Crabby","10","","Crab data","","","","","0","0","0","","","",""
"30/06/2015","8:46:40 AM","Crabby","","10","Dune Position","","","","","","","","Crest","-25.60054124","153.09441153","0.4"
"30/06/2015","8:47:05 AM","Crabby","15","","Litter Cover","5","","","","","","","","","",""
"30/06/2015","8:47:15 AM","Crabby","15","","Groundcover Plants","","Beach Spinifex","20","","","","","","","",""
"30/06/2015","8:47:36 AM","Crabby","15","","Crab data","","","","","0","1","0","","","",""
"30/06/2015","8:47:44 AM","Crabby","","15","Dune Position","","","","","","","","Trough","-25.60053807","153.09441346","0.3"
"30/06/2015","8:48:33 AM","Crabby","20","","Litter Cover","0","","","","","","","","","",""
"30/06/2015","8:48:52 AM","Crabby","20","","Groundcover Plants","","Beach Spinifex","40","","","","","","","",""
"30/06/2015","8:50:17 AM","Crabby","20","","Crab data","","","","","0","8","2","","","",""
"30/06/2015","8:50:22 AM","Crabby","","20","Dune Position","","","","","","","","Upslope","-25.60049679","153.09438108","0.3"
"30/06/2015","8:50:59 AM","Crabby","25","","Litter Cover","0","","","","","","","","","",""
"30/06/2015","8:52:27 AM","Crabby","25","","Groundcover Plants","","Beach Spinifex","45","","","","","","","",""
"30/06/2015","8:52:41 AM","Crabby","25","","Crab data","","","","","0","5","1","","","",""
"30/06/2015","8:52:51 AM","Crabby","","25","Dune Position","","","","","","","","Upslope","-25.60051571","153.09432153","0.3"
"30/06/2015","8:54:03 AM","Crabby","30","","Litter Cover","1","","","","","","","","","",""
"30/06/2015","8:54:18 AM","Crabby","30","","Groundcover Plants","","Beach Spinifex","30","","","","","","","",""
"30/06/2015","8:54:31 AM","Crabby","30","","Groundcover Plants","","Scented Fan Flower","5","","","","","","","",""
"30/06/2015","8:55:37 AM","Crabby","30","","Crab data","","","","","3","3","2","","","",""
"30/06/2015","8:55:44 AM","Crabby","","30","Dune Position","","","","","","","","Upslope","-25.60049481","153.09426536","0.3"
"30/06/2015","8:56:22 AM","Crabby","35","","Litter Cover","90","","","","","","","","","",""
"30/06/2015","8:57:14 AM","Crabby","35","","Groundcover Plants","","Beach Spinifex","7","","","","","","","",""
"30/06/2015","8:57:28 AM","Crabby","35","","Trees and Shrubs","","","","Coastal She-oak","","","","","","",""
"30/06/2015","8:58:18 AM","Crabby","35","","Crab data","","","","","1","4","2","","","",""
"30/06/2015","8:58:24 AM","Crabby","","35","Dune Position","","","","","","","","Crest","-25.60049797","153.09421867","0.3"
"30/06/2015","8:58:53 AM","Crabby","40","","Litter Cover","5","","","","","","","","","",""
"30/06/2015","8:59:06 AM","Crabby","40","","Groundcover Plants","","Beach Spinifex","50","","","","","","","",""
"30/06/2015","8:59:16 AM","Crabby","40","","Groundcover Plants","","Scented Fan Flower","10","","","","","","","",""
"30/06/2015","8:59:45 AM","Crabby","40","","Crab data","","","","","1","2","1","","","",""
"30/06/2015","8:59:53 AM","Crabby","","40","Dune Position","","","","","","","","Downslope","-25.60050217","153.09417814","0.3"
"30/06/2015","9:01:01 AM","Crabby","45","","Litter Cover","20","","","","","","","","","",""
"30/06/2015","9:01:20 AM","Crabby","45","","Groundcover Plants","","Beach Spinifex","20","","","","","","","",""
"30/06/2015","9:01:32 AM","Crabby","45","","Groundcover Plants","","Scented Fan Flower","40","","","","","","","",""
"30/06/2015","9:02:13 AM","Crabby","45","","Crab data","","","","","0","0","0","","","",""
"30/06/2015","9:02:18 AM","Crabby","","45","Dune Position","","","","","","","","Downslope","-25.60050715","153.09411425","0.3"
"30/06/2015","9:02:52 AM","Crabby","50","","Litter Cover","15","","","","","","","","","",""
"30/06/2015","9:03:03 AM","Crabby","50","","Groundcover Plants","","Scented Fan Flower","25","","","","","","","",""
"30/06/2015","9:03:13 AM","Crabby","50","","Groundcover Plants","","Beach Spinifex","15","","","","","","","",""
"30/06/2015","9:04:29 AM","Crabby","50","","Crab data","","","","","2","3","1","","","",""
"30/06/2015","9:04:35 AM","Crabby","","50","Dune Position","","","","","","","","Upslope","-25.6004742","153.09407314","0.3"
"30/06/2015","9:05:43 AM","Crabby","55","","Litter Cover","20","","","","","","","","","",""
"30/06/2015","9:06:52 AM","Crabby","55","","Groundcover Plants","","Beach primrose ","25","","","","","","","",""
"30/06/2015","9:07:10 AM","Crabby","55","","Groundcover Plants","","Scented Fan Flower","10","","","","","","","",""
"30/06/2015","9:07:36 AM","Crabby","55","","Groundcover Plants","","Blady Grass","15","","","","","","","",""
"30/06/2015","9:08:15 AM","Crabby","55","","Crab data","","","","","1","0","1","","","",""
"30/06/2015","9:08:21 AM","Crabby","","55","Dune Position","","","","","","","","Crest","-25.60048998","153.09402628","0.3"
"30/06/2015","9:09:01 AM","Crabby","60","","Litter Cover","20","","","","","","","","","",""
"30/06/2015","9:09:15 AM","Crabby","60","","Groundcover Plants","","Blady Grass","70","","","","","","","",""
"30/06/2015","9:09:34 AM","Crabby","60","","Groundcover Plants","","Scented Fan Flower","5","","","","","","","",""
"30/06/2015","9:09:52 AM","Crabby","60","","Trees and Shrubs","","","","Coastal Banksia","","","","","","",""
"30/06/2015","9:11:03 AM","Crabby","60","","Crab data","","","","","0","4","2","","","",""
"30/06/2015","9:11:11 AM","Crabby","","60","Dune Position","","","","","","","","Downslope","-25.60046718","153.09396944","0.3"
"30/06/2015","9:11:58 AM","Crabby","65","","Litter Cover","70","","","","","","","","","",""
"30/06/2015","9:12:11 AM","Crabby","65","","Groundcover Plants","","Blady Grass","50","","","","","","","",""
"30/06/2015","9:12:28 AM","Crabby","65","","Groundcover Plants","","Scented Fan Flower","10","","","","","","","",""
"30/06/2015","9:13:43 AM","Crabby","65","","Groundcover Plants","","Emilia","2","","","","","","","",""
"30/06/2015","9:13:57 AM","Crabby","65","","Trees and Shrubs","","","","Coastal Banksia","","","","","","",""
"30/06/2015","9:15:25 AM","Crabby","65","","Crab data","","","","","1","3","1","","","",""
"30/06/2015","9:15:43 AM","Crabby","","65","Dune Position","","","","","","","","Trough","-25.60050102","153.09391168","0.3"
"30/06/2015","9:19:22 AM","Crabby","70","","Litter Cover","80","","","","","","","","","",""
"30/06/2015","9:19:39 AM","Crabby","70","","Groundcover Plants","","Marine Couch","40","","","","","","","",""
"30/06/2015","9:20:42 AM","Crabby","70","","Groundcover Plants","","Blue Flax Lily","10","","","","","","","",""
"30/06/2015","9:20:55 AM","Crabby","70","","Groundcover Plants","","Scented Fan Flower","12","","","","","","","",""
"30/06/2015","9:21:18 AM","Crabby","70","","Trees and Shrubs","","","","Coastal Wattle","","","","","","",""
"30/06/2015","9:22:05 AM","Crabby","70","","Crab data","","","","","0","0","0","","","",""
"30/06/2015","9:22:11 AM","Crabby","","70","Dune Position","","","","","","","","Trough","-25.6004781","153.09387182","0.3"
"30/06/2015","9:38:46 AM","Crabby","0","","Litter Cover","0","","","","","","","","","",""
"30/06/2015","9:39:40 AM","race","","","","","","","","","","","","","",""
"30/06/2015","9:39:48 AM","race","","","","","","","","","","","","-25.60132956","153.09431702","0.5"
"30/06/2015","9:40:19 AM","race","0","","Litter Cover","0","","","","","","","","","",""
"30/06/2015","9:40:33 AM","race","0","","Crab data","","","","","0","0","0","","","",""
"30/06/2015","9:40:40 AM","race","","0","Dune Position","","","","","","","","Upslope","-25.60132232","153.09429456","0.4"
"30/06/2015","9:40:45 AM","race","5","","Litter Cover","0","","","","","","","","","",""
"30/06/2015","9:40:54 AM","race","5","","Groundcover Plants","","Beach Spinifex","40","","","","","","","",""
"30/06/2015","9:41:02 AM","race","5","","Crab data","","","","","0","0","0","","","",""
"30/06/2015","9:41:06 AM","race","","5","Dune Position","","","","","","","","Upslope","-25.60130456","153.09426284","0.3"
"30/06/2015","9:41:13 AM","race","10","","Litter Cover","0","","","","","","","","","",""
"30/06/2015","9:41:20 AM","race","10","","Groundcover Plants","","Beach Spinifex","15","","","","","","","",""
"30/06/2015","9:41:29 AM","race","10","","Crab data","","","","","0","0","0","","","",""
"30/06/2015","9:41:34 AM","race","","10","Dune Position","","","","","","","","Crest","-25.60129197","153.09422619","0.3"
"30/06/2015","9:41:44 AM","race","15","","Litter Cover","5","","","","","","","","","",""
"30/06/2015","9:41:54 AM","race","15","","Groundcover Plants","","Beach Spinifex","15","","","","","","","",""
"30/06/2015","9:42:06 AM","race","15","","Crab data","","","","","0","2","0","","","",""
"30/06/2015","9:42:11 AM","race","","15","Dune Position","","","","","","","","Upslope","-25.60129673","153.09416331","0.3"
"30/06/2015","9:42:22 AM","race","20","","Litter Cover","0","","","","","","","","","",""
"30/06/2015","9:42:28 AM","race","20","","Groundcover Plants","","Beach Spinifex","35","","","","","","","",""
"30/06/2015","9:42:48 AM","race","20","","Crab data","","","","","","2","0","","","",""
"30/06/2015","9:42:53 AM","race","","20","Dune Position","","","","","","","","Upslope","-25.60124925","153.0941193","0.3"
"30/06/2015","9:43:05 AM","race","25","","Litter Cover","0","","","","","","","","","",""
