"Date","Time","group name","Distance along tape","Distance along tape","Plant type?","Litter","Groundcover Identification","Ground Cover","Trees/shrubs identification","Active Burrows","Inactive Burrows",">2cm","DunePostition","Latitude","Longitude","Accuracy"
"27/06/2015","9:01:11 AM","hannahkat","","","","","","","","","","","","","",""
"27/06/2015","9:01:26 AM","hannahkat","","","","","","","","","","","","-25.59613236","153.0959144","4.7"
"27/06/2015","9:02:54 AM","hannahkat","0","","Crab data","","","","","0","-100","0","","","",""
"27/06/2015","9:03:18 AM","hannahkat","0","","Litter Cover","0","","","","","","","","","",""
"27/06/2015","9:03:53 AM","hannahkat","","","","","","","","","","","","","",""
"27/06/2015","9:04:03 AM","hannahkat","","","","","","","","","","","","-25.59615175","153.09594776","0.8"
"27/06/2015","9:04:31 AM","hannahkat","0","","Litter Cover","0","","","","","","","","","",""
"27/06/2015","9:04:55 AM","hannahkat","0","","Crab data","","","","","0","0","0","","","",""
"27/06/2015","9:05:11 AM","hannahkat","","0","Dune Position","","","","","","","","Upslope","-25.5961482","153.09594386","0.3"
"27/06/2015","9:09:35 AM","hannahkat","5","","Litter Cover","9","","","","","","","","","",""
"27/06/2015","9:12:24 AM","hannahkat","5","","Litter Cover","0","","","","","","","","","",""
"27/06/2015","9:12:43 AM","hannahkat","5","","Groundcover Plants","","Beach Spinifex","9","","","","","","","",""
"27/06/2015","9:13:08 AM","hannahkat","5","","Crab data","","","","","0","0","0","","","",""
"27/06/2015","9:13:14 AM","hannahkat","","5","Dune Position","","","","","","","","Upslope","-25.5961286","153.09588688","0.4"
"27/06/2015","9:15:07 AM","hannahkat","10","","Litter Cover","0.5","","","","","","","","","",""
"27/06/2015","9:15:49 AM","hannahkat","10","","Groundcover Plants","","Beach Spinifex","14","","","","","","","",""
"27/06/2015","9:16:26 AM","hannahkat","10","","Crab data","","","","","0","0","0","","","",""
"27/06/2015","9:16:41 AM","hannahkat","","10","Dune Position","","","","","","","","Crest","-25.59614104","153.0958444","0.3"
"27/06/2015","9:20:17 AM","hannahkat","15","","Litter Cover","2","","","","","","","","","",""
"27/06/2015","9:21:15 AM","hannahkat","15","","Groundcover Plants","","Beach Spinifex","17","","","","","","","",""
"27/06/2015","9:23:23 AM","hannahkat","15","","Crab data","","","","","3","1","1","","","",""
"27/06/2015","9:23:34 AM","hannahkat","","15","Dune Position","","","","","","","","Trough","-25.59612971","153.09578431","0.3"
"27/06/2015","9:24:22 AM","hannahkat","20","","Litter Cover","2","","","","","","","","","",""
"27/06/2015","9:25:05 AM","hannahkat","20","","Groundcover Plants","","Beach Spinifex","10","","","","","","","",""
"27/06/2015","9:27:17 AM","hannahkat","20","","Crab data","","","","","0","1","0","","","",""
"27/06/2015","9:28:54 AM","hannahkat","","20","Dune Position","","","","","","","","Upslope","-25.59610614","153.09575025","0.4"
"27/06/2015","9:29:45 AM","hannahkat","25","","Litter Cover","3","","","","","","","","","",""
"27/06/2015","9:30:42 AM","hannahkat","25","","Groundcover Plants","","Beach Spinifex","10","","","","","","","",""
"27/06/2015","9:31:49 AM","hannahkat","25","","Groundcover Plants","","Angular pigface ","3","","","","","","","",""
"27/06/2015","9:32:00 AM","hannahkat","25","","Crab data","","","","","0","0","0","","","",""
