Date,Time,group name,Distance along tape,Distance along tape,Plant type?,Litter,Groundcover Identification,Ground Cover,Trees/shrubs identification,Active Burrows,Inactive Burrows,>2cm,DunePostition,Latitude,Longitude,Accuracy
28/06/2015,8:52:41 AM,cuddlefish,,,,,,,,,,,,,,
28/06/2015,8:55:04 AM,cuddlefish,,,,,,,,,,,,-25.59785122,153.0954211,8.1
28/06/2015,8:58:33 AM,cuddlefish,0,,Litter Cover,0,,,,,,,,,,
28/06/2015,8:58:59 AM,cuddlefish,0,,Crab data,,,,,0,0,0,,,,
28/06/2015,9:00:12 AM,cuddlefish,,0,Dune Position,,,,,,,,Trough,-25.5978986,153.0954059,2.2
28/06/2015,9:00:38 AM,cuddlefish,5,,Litter Cover,2,,,,,,,,,,
28/06/2015,9:00:57 AM,cuddlefish,5,,Crab data,,,,,0,0,0,,,,
28/06/2015,9:01:05 AM,cuddlefish,,5,Dune Position,,,,,,,,Trough,-25.5978632,153.095359,1.2
28/06/2015,9:01:31 AM,cuddlefish,10,,Litter Cover,0,,,,,,,,,,
28/06/2015,9:01:39 AM,cuddlefish,10,,Crab data,,,,,0,0,0,,,,
28/06/2015,9:01:58 AM,cuddlefish,,10,Dune Position,,,,,,,,Trough,-25.5978482,153.0952662,0.3
28/06/2015,9:02:22 AM,cuddlefish,15,,Crab data,,,,,0,1,0,,,,
28/06/2015,9:02:27 AM,cuddlefish,,15,Dune Position,,,,,,,,Trough,-25.59783933,153.0952627,0.5
28/06/2015,9:02:59 AM,cuddlefish,20,,Litter Cover,0,,,,,,,,,,
28/06/2015,9:03:06 AM,cuddlefish,20,,Litter Cover,5,,,,,,,,,,
28/06/2015,9:03:39 AM,cuddlefish,20,,Groundcover Plants,,Blady Grass,25,,,,,,,,
28/06/2015,9:04:00 AM,cuddlefish,20,,Crab data,,,,,1,4,0,,,,
28/06/2015,9:04:09 AM,cuddlefish,,20,Dune Position,,,,,,,,Upslope,-25.59784516,153.0952366,1.9
28/06/2015,9:04:40 AM,cuddlefish,25,,Litter Cover,10,,,,,,,,,,
28/06/2015,9:04:58 AM,cuddlefish,25,,Groundcover Plants,,Blady Grass,40,,,,,,,,
28/06/2015,9:05:23 AM,cuddlefish,25,,Crab data,,,,,0,3,1,,,,
28/06/2015,9:05:33 AM,cuddlefish,,25,Dune Position,,,,,,,,Crest,-25.59782885,153.095121,1.2
28/06/2015,9:06:04 AM,cuddlefish,30,,Litter Cover,4,,,,,,,,,,
28/06/2015,9:07:28 AM,cuddlefish,30,,Groundcover Plants,,Coastal Jack bean,5,,,,,,,,
28/06/2015,9:07:47 AM,cuddlefish,30,,Groundcover Plants,,Blady Grass,40,,,,,,,,
28/06/2015,9:08:14 AM,cuddlefish,30,,Crab data,,,,,1,2,0,,,,
28/06/2015,9:08:31 AM,cuddlefish,,30,Dune Position,,,,,,,,Trough,-25.59781651,153.095068,1.4
28/06/2015,9:08:50 AM,cuddlefish,35,,Litter Cover,95,,,,,,,,,,
28/06/2015,9:09:02 AM,cuddlefish,35,,Groundcover Plants,,Blady Grass,20,,,,,,,,
28/06/2015,9:09:43 AM,cuddlefish,35,,Crab data,,,,,1,0,0,,,,
28/06/2015,9:11:00 AM,cuddlefish,,35,Dune Position,,,,,,,,Crest,-25.59779649,153.0950292,2.3
28/06/2015,9:12:23 AM,cuddlefish,30,,Groundcover Plants,,Beach morning glory,5,,,,,,,,
28/06/2015,9:13:41 AM,cuddlefish,40,,Litter Cover,80,,,,,,,,,,
