"Date","Time","group name","Distance along tape","Distance along tape","Plant type?","Litter","Groundcover Identification","Ground Cover","Trees/shrubs identification","Active Burrows","Inactive Burrows",">2cm","DunePostition","Latitude","Longitude","Accuracy"
"29/06/2015","8:15:24 AM","gazza","","","","","","","","","","","","","",""
"29/06/2015","8:30:06 AM","gazza","","","","","","","","","","","","-25.59578693","153.09612193","4.4"
"29/06/2015","8:31:27 AM","gazza","0","","Litter Cover","1","","","","","","","","","",""
"29/06/2015","8:33:05 AM","gazza","0","","Groundcover Plants","","Beach Spinifex","6","","","","","","","",""
"29/06/2015","8:36:45 AM","gazza","0","","Crab data","","","","","0","2","0","","","",""
"29/06/2015","8:38:10 AM","gazza","","0","Dune Position","","","","","","","","Trough","-25.5956909","153.09599508","0.3"
"29/06/2015","8:45:36 AM","gazza","0","","Litter Cover","0","","","","","","","","","",""
"29/06/2015","8:46:13 AM","gazza","0","","Crab data","","","","","0","0","0","","","",""
"29/06/2015","8:47:00 AM","gazza","","0","Dune Position","","","","","","","","Upslope","-25.59555","153.09608623","1"
"29/06/2015","8:47:35 AM","gazza","5","","Litter Cover","2","","","","","","","","","",""
"29/06/2015","8:48:11 AM","gazza","5","","Groundcover Plants","","Beach Spinifex","65","","","","","","","",""
"29/06/2015","8:48:37 AM","gazza","","5","Dune Position","","","","","","","","Upslope","-25.59553713","153.09603849","1"
"29/06/2015","8:49:02 AM","gazza","10","","Litter Cover","0","","","","","","","","","",""
"29/06/2015","8:49:38 AM","gazza","10","","Groundcover Plants","","Beach Spinifex","7","","","","","","","",""
"29/06/2015","8:50:11 AM","gazza","10","","Crab data","","","","","1","0","0","","","",""
"29/06/2015","8:53:24 AM","gazza","15","","Litter Cover","0","","","","","","","","","",""
"29/06/2015","8:53:48 AM","gazza","15","","Groundcover Plants","","Beach Spinifex","17","","","","","","","",""
"29/06/2015","8:54:21 AM","gazza","15","","Crab data","","","","","0","0","0","","","",""
"29/06/2015","8:54:30 AM","gazza","","15","Dune Position","","","","","","","","Trough","-25.59550466","153.09595698","0.9"
"29/06/2015","8:55:05 AM","gazza","20","","Litter Cover","10","","","","","","","","","",""
"29/06/2015","8:55:22 AM","gazza","20","","Groundcover Plants","","Beach Spinifex","2","","","","","","","",""
"29/06/2015","8:55:52 AM","gazza","20","","Crab data","","","","","0","1","0","","","",""
"29/06/2015","8:56:01 AM","gazza","","20","Dune Position","","","","","","","","Upslope","-25.59549721","153.09591106","0.9"
"29/06/2015","8:58:13 AM","gazza","25","","Litter Cover","5","","","","","","","","","",""
"29/06/2015","8:58:32 AM","gazza","25","","Groundcover Plants","","Beach Spinifex","10","","","","","","","",""
"29/06/2015","8:59:05 AM","gazza","25","","Crab data","","","","","1","1","0","","","",""
"29/06/2015","8:59:13 AM","gazza","","25","Dune Position","","","","","","","","Upslope","-25.59549146","153.09585061","0.3"
"29/06/2015","9:00:39 AM","gazza","30","","Litter Cover","5","","","","","","","","","",""
"29/06/2015","9:01:40 AM","gazza","30","","Groundcover Plants","","Angular pigface ","30","","","","","","","",""
"29/06/2015","9:02:17 AM","gazza","30","","Groundcover Plants","","Scented Fan Flower","5","","","","","","","",""
"29/06/2015","9:02:53 AM","gazza","30","","Groundcover Plants","","Beach Spinifex","5","","","","","","","",""
"29/06/2015","9:03:08 AM","gazza","30","","Trees and Shrubs","","","","Coastal Banksia","","","","","","",""
"29/06/2015","9:03:18 AM","gazza","30","","Trees and Shrubs","","","","Coastal She-oak","","","","","","",""
"29/06/2015","9:04:09 AM","gazza","30","","Crab data","","","","","0","8","3","","","",""
"29/06/2015","9:04:21 AM","gazza","","30","Dune Position","","","","","","","","Trough","-25.59549652","153.09582059","0.3"
