Date,Time,group name,Distance along tape,Distance along tape,Plant type?,Litter,Groundcover Identification,Ground Cover,Trees/shrubs identification,Active Burrows,Inactive Burrows,>2cm,DunePostition,Latitude,Longitude,Accuracy
5/07/2015,8:08:59 AM,bluewhale,,,,,,,,,,,,,,
5/07/2015,8:10:42 AM,bluewhale,,,,,,,,,,,,-25.59840981,153.0918776,5.1
5/07/2015,8:29:08 AM,bluewhale,100,,Litter Cover,1,,,,,,,,,,
5/07/2015,8:31:09 AM,bluewhale,100,,Groundcover Plants,,Beach Spinifex,15,,,,,,,,
5/07/2015,8:31:36 AM,bluewhale,100,,Trees and Shrubs,,,,Red Ash,,,,,,,
5/07/2015,8:34:58 AM,bluewhale,100,,Crab data,,,,,2,0,0,,,,
5/07/2015,8:35:58 AM,bluewhale,,100,Dune Position,,,,,,,,Upslope,-25.60595003,153.0928252,0.3
5/07/2015,8:42:05 AM,bluewhale,0,,Litter Cover,5,,,,,,,,,,
5/07/2015,8:42:25 AM,bluewhale,0,,Groundcover Plants,,Beach Spinifex,1,,,,,,,,
5/07/2015,8:42:52 AM,bluewhale,0,,Crab data,,,,,0,0,0,,,,
5/07/2015,8:43:17 AM,bluewhale,,0,Dune Position,,,,,,,,Trough,-25.60661069,153.0926713,0.4
5/07/2015,8:43:57 AM,bluewhale,5,,Litter Cover,0,,,,,,,,,,
5/07/2015,8:44:13 AM,bluewhale,5,,Groundcover Plants,,Beach Spinifex,6,,,,,,,,
5/07/2015,8:44:24 AM,bluewhale,5,,Crab data,,,,,0,0,0,,,,
5/07/2015,8:44:30 AM,bluewhale,,5,Dune Position,,,,,,,,Upslope,-25.6066003,153.0926156,0.4
5/07/2015,8:45:03 AM,bluewhale,10,,Litter Cover,1,,,,,,,,,,
5/07/2015,8:45:12 AM,bluewhale,10,,Groundcover Plants,,Beach Spinifex,10,,,,,,,,
5/07/2015,8:46:20 AM,bluewhale,10,,Crab data,,,,,2,2,0,,,,
5/07/2015,8:46:28 AM,bluewhale,,10,Dune Position,,,,,,,,Crest,-25.60659627,153.0925711,0.3
5/07/2015,8:47:10 AM,bluewhale,15,,Litter Cover,1,,,,,,,,,,
5/07/2015,8:47:28 AM,bluewhale,15,,Groundcover Plants,,Beach Spinifex,30,,,,,,,,
5/07/2015,8:48:08 AM,bluewhale,15,,Groundcover Plants,,Beach morning glory,2,,,,,,,,
5/07/2015,8:48:24 AM,bluewhale,15,,Crab data,,,,,0,0,0,,,,
5/07/2015,8:49:03 AM,bluewhale,15,,Crab data,,,,,0,1,0,,,,
5/07/2015,8:49:37 AM,bluewhale,,15,Dune Position,,,,,,,,Trough,-25.60655691,153.0925487,0.3
5/07/2015,8:50:11 AM,bluewhale,20,,Litter Cover,1,,,,,,,,,,
5/07/2015,8:51:03 AM,bluewhale,20,,Groundcover Plants,,Beach Spinifex,25,,,,,,,,
5/07/2015,8:52:13 AM,bluewhale,20,,Crab data,,,,,0,5,0,,,,
5/07/2015,8:52:30 AM,bluewhale,,20,Dune Position,,,,,,,,Upslope,-25.60656583,153.092524,0.3
5/07/2015,8:54:15 AM,bluewhale,25,,Litter Cover,60,,,,,,,,,,
5/07/2015,8:54:31 AM,bluewhale,25,,Groundcover Plants,,Beach Spinifex,60,,,,,,,,
5/07/2015,8:54:56 AM,bluewhale,25,,Trees and Shrubs,,,,Coastal She-oak,,,,,,,
5/07/2015,8:55:55 AM,bluewhale,25,,Crab data,,,,,2,1,2,,,,
5/07/2015,8:56:03 AM,bluewhale,,25,Dune Position,,,,,,,,Crest,-25.60652157,153.0924542,0.3
5/07/2015,8:58:55 AM,bluewhale,30,,Litter Cover,90,,,,,,,,,,
5/07/2015,8:59:10 AM,bluewhale,30,,Groundcover Plants,,Beach Spinifex,25,,,,,,,,
5/07/2015,8:59:46 AM,bluewhale,30,,Groundcover Plants,,Scented Fan Flower,15,,,,,,,,
5/07/2015,9:00:13 AM,bluewhale,30,,Trees and Shrubs,,,,Coastal She-oak,,,,,,,
5/07/2015,9:01:28 AM,bluewhale,30,,Crab data,,,,,0,4,2,,,,
5/07/2015,9:01:57 AM,bluewhale,,30,Dune Position,,,,,,,,Upslope,-25.60654002,153.0923903,0.3
5/07/2015,9:02:48 AM,bluewhale,35,,Litter Cover,90,,,,,,,,,,
5/07/2015,9:03:50 AM,bluewhale,35,,Groundcover Plants,,Beach Couch,5,,,,,,,,
5/07/2015,9:04:21 AM,bluewhale,35,,Groundcover Plants,,Coastal Lovegrass,10,,,,,,,,
5/07/2015,9:04:36 AM,bluewhale,35,,Groundcover Plants,,Beach Spinifex,15,,,,,,,,
5/07/2015,9:05:03 AM,bluewhale,35,,Groundcover Plants,,Scented Fan Flower,10,,,,,,,,
5/07/2015,9:05:16 AM,bluewhale,35,,Trees and Shrubs,,,,Coastal She-oak,,,,,,,
5/07/2015,9:06:43 AM,bluewhale,35,,Crab data,,,,,0,1,1,,,,
5/07/2015,9:06:54 AM,bluewhale,,35,Dune Position,,,,,,,,Crest,-25.60648722,153.0923574,0.3
5/07/2015,9:08:32 AM,bluewhale,40,,Litter Cover,50,,,,,,,,,,
5/07/2015,9:09:02 AM,bluewhale,40,,Groundcover Plants,,Scented Fan Flower,30,,,,,,,,
5/07/2015,9:09:21 AM,bluewhale,40,,Groundcover Plants,,Angular pigface ,1,,,,,,,,
5/07/2015,9:10:00 AM,bluewhale,40,,Groundcover Plants,,Beach Couch,10,,,,,,,,
5/07/2015,9:10:21 AM,bluewhale,40,,Groundcover Plants,,Coastal Lovegrass,1,,,,,,,,
5/07/2015,9:11:45 AM,bluewhale,40,,Crab data,,,,,3,3,2,,,,
5/07/2015,9:11:54 AM,bluewhale,,40,Dune Position,,,,,,,,Trough,-25.6065053,153.0923101,0.3
5/07/2015,9:12:54 AM,bluewhale,45,,Litter Cover,60,,,,,,,,,,
5/07/2015,9:13:13 AM,bluewhale,45,,Groundcover Plants,,Beach Spinifex,20,,,,,,,,
5/07/2015,9:13:24 AM,bluewhale,45,,Groundcover Plants,,Angular pigface ,5,,,,,,,,
5/07/2015,9:13:44 AM,bluewhale,45,,Groundcover Plants,,Scented Fan Flower,1,,,,,,,,
5/07/2015,9:14:04 AM,bluewhale,45,,Groundcover Plants,,Beach Couch,40,,,,,,,,
5/07/2015,9:14:21 AM,bluewhale,45,,Trees and Shrubs,,,,Coastal She-oak,,,,,,,
5/07/2015,9:15:32 AM,bluewhale,45,,Crab data,,,,,2,0,2,,,,
5/07/2015,9:15:40 AM,bluewhale,,45,Dune Position,,,,,,,,Upslope,-25.60647754,153.092262,0.9
5/07/2015,9:17:16 AM,bluewhale,50,,Litter Cover,90,,,,,,,,,,
5/07/2015,9:17:49 AM,bluewhale,50,,Groundcover Plants,,Blue Flax Lily,10,,,,,,,,
5/07/2015,9:18:06 AM,bluewhale,50,,Groundcover Plants,,Beach Spinifex,10,,,,,,,,
5/07/2015,9:18:33 AM,bluewhale,50,,Groundcover Plants,,Coastal Lovegrass,5,,,,,,,,
5/07/2015,9:18:47 AM,bluewhale,50,,Trees and Shrubs,,,,Coastal She-oak,,,,,,,
5/07/2015,9:19:40 AM,bluewhale,50,,Crab data,,,,,1,0,1,,,,
5/07/2015,9:19:47 AM,bluewhale,,50,Dune Position,,,,,,,,Crest,-25.60647338,153.092201,0.3
