"Date","Time","group name","Distance along tape","Distance along tape","Plant type?","Litter","Groundcover Identification","Ground Cover","Trees/shrubs identification","Active Burrows","Inactive Burrows",">2cm","DunePostition","Latitude","Longitude","Accuracy"
"3/07/2015","8:12:57 AM","red","","","","","","","","","","","","","",""
"3/07/2015","8:14:00 AM","red","","","","","","","","","","","","","",""
"3/07/2015","8:14:10 AM","red","","","","","","","","","","","","-25.59895462","153.09142444","1.4"
"3/07/2015","8:27:13 AM","red","100","","Litter Cover","1","","","","","","","","","",""
"3/07/2015","8:29:28 AM","red","100","","Groundcover Plants","","Beach Spinifex","25","","","","","","","",""
"3/07/2015","8:31:36 AM","red","100","","Crab data","","","","","1","0","0","","","",""
"3/07/2015","8:32:20 AM","red","","100","Dune Position","","","","","","","","Upslope","-25.60196532","153.09409194","0.3"
"3/07/2015","8:49:03 AM","red","0","","Litter Cover","1","","","","","","","","","",""
"3/07/2015","8:50:23 AM","red","0","","Groundcover Plants","","Beach Spinifex","5","","","","","","","",""
"3/07/2015","8:51:25 AM","red","0","","Crab data","","","","","0","0","0","","","",""
"3/07/2015","8:51:43 AM","red","","0","Dune Position","","","","","","","","Upslope","-25.60234125","153.0939551","0.3"
"3/07/2015","8:53:04 AM","red","5","","Litter Cover","1","","","","","","","","","",""
"3/07/2015","8:53:29 AM","red","5","","Groundcover Plants","","Beach Spinifex","40","","","","","","","",""
"3/07/2015","8:54:36 AM","red","5","","Crab data","","","","","0","2","0","","","",""
"3/07/2015","8:54:59 AM","red","","5","Dune Position","","","","","","","","Crest","-25.60237079","153.09389927","0.3"
"3/07/2015","8:59:51 AM","red","10","","Litter Cover","10","","","","","","","","","",""
"3/07/2015","9:00:10 AM","red","10","","Groundcover Plants","","Beach Spinifex","80","","","","","","","",""
"3/07/2015","9:02:39 AM","red","10","","Crab data","","","","","0","7","0","","","",""
"3/07/2015","9:03:52 AM","red","15","","Litter Cover","15","","","","","","","","","",""
"3/07/2015","9:04:18 AM","red","15","","Groundcover Plants","","Beach Spinifex","30","","","","","","","",""
"3/07/2015","9:06:02 AM","red","15","","Crab data","","","","","1","3","0","","","",""
"3/07/2015","9:06:31 AM","red","","15","Dune Position","","","","","","","","Trough","-25.60231413","153.09380055","0.3"
"3/07/2015","9:07:57 AM","red","20","","Litter Cover","5","","","","","","","","","",""
"3/07/2015","9:08:13 AM","red","20","","Groundcover Plants","","Beach Spinifex","10","","","","","","","",""
"3/07/2015","9:09:51 AM","red","20","","Crab data","","","","","0","2","1","","","",""
"3/07/2015","9:09:58 AM","red","","20","Dune Position","","","","","","","","Upslope","-25.60229248","153.09376683","0.3"
"3/07/2015","9:15:48 AM","red","25","","Litter Cover","30","","","","","","","","","",""
"3/07/2015","9:16:26 AM","red","25","","Groundcover Plants","","Beach Spinifex","25","","","","","","","",""
"3/07/2015","9:17:38 AM","red","25","","Crab data","","","","","0","4","0","","","",""
"3/07/2015","9:17:45 AM","red","","25","Dune Position","","","","","","","","Upslope","-25.60229334","153.09369669","0.3"
"3/07/2015","9:18:45 AM","red","30","","Litter Cover","30","","","","","","","","","",""
"3/07/2015","9:18:55 AM","red","30","","Groundcover Plants","","Beach Spinifex","40","","","","","","","",""
"3/07/2015","9:21:09 AM","red","30","","Crab data","","","","","2","6","1","","","",""
