"Date","Time","group name","Distance along tape","Distance along tape","Plant type?","Litter","Groundcover Identification","Ground Cover","Trees/shrubs identification","Active Burrows","Inactive Burrows",">2cm","DunePostition","Latitude","Longitude","Accuracy"
"4/07/2015","8:18:17 AM","yellow croissant","","","","","","","","","","","","","",""
"4/07/2015","8:19:07 AM","yellow croissant","","","","","","","","","","","","-25.59892584","153.09144554","2.7"
"4/07/2015","8:39:30 AM","yellow croissant","100","","Litter Cover","0","","","","","","","","","",""
"4/07/2015","8:41:04 AM","yellow croissant","100","","Groundcover Plants","","Beach Spinifex","10","","","","","","","",""
"4/07/2015","8:41:37 AM","yellow croissant","100","","Trees and Shrubs","","","","Red Ash","","","","","","",""
"4/07/2015","8:44:28 AM","yellow croissant","100","","Crab data","","","","","0","1","0","","","",""
"4/07/2015","8:46:56 AM","yellow croissant","","100","Dune Position","","","","","","","","Upslope","-25.59421612","153.09648363","0.5"
"4/07/2015","9:01:41 AM","yellow croissant","0","","Litter Cover","1","","","","","","","","","",""
"4/07/2015","9:02:04 AM","yellow croissant","0","","Crab data","","","","","0","0","0","","","",""
"4/07/2015","9:03:03 AM","yellow croissant","","0","Dune Position","","","","","","","","Upslope","-25.59406069","153.0965743","0.3"
"4/07/2015","9:07:11 AM","yellow croissant","5","","Litter Cover","0","","","","","","","","","",""
"4/07/2015","9:09:58 AM","yellow croissant","5","","Groundcover Plants","","Beach Spinifex","3","","","","","","","",""
"4/07/2015","9:10:13 AM","yellow croissant","5","","Crab data","","","","","0","0","0","","","",""
"4/07/2015","9:10:36 AM","yellow croissant","","5","Dune Position","","","","","","","","Upslope","-25.5940765","153.09653099","0.3"
"4/07/2015","9:11:01 AM","yellow croissant","10","","Litter Cover","0","","","","","","","","","",""
"4/07/2015","9:11:12 AM","yellow croissant","10","","Groundcover Plants","","Beach Spinifex","4","","","","","","","",""
"4/07/2015","9:11:20 AM","yellow croissant","10","","Crab data","","","","","0","0","0","","","",""
"4/07/2015","9:11:40 AM","yellow croissant","","10","Dune Position","","","","","","","","Crest","-25.59405381","153.09650569","0.3"
"4/07/2015","9:11:55 AM","yellow croissant","15","","Litter Cover","0","","","","","","","","","",""
"4/07/2015","9:12:08 AM","yellow croissant","15","","Groundcover Plants","","Beach Spinifex","5","","","","","","","",""
"4/07/2015","9:12:19 AM","yellow croissant","15","","Crab data","","","","","0","0","0","","","",""
"4/07/2015","9:12:28 AM","yellow croissant","","15","Dune Position","","","","","","","","Upslope","-25.59405097","153.09644342","0.3"
"4/07/2015","9:13:57 AM","yellow croissant","20","","Litter Cover","5","","","","","","","","","",""
"4/07/2015","9:14:26 AM","yellow croissant","20","","Groundcover Plants","","Beach morning glory","2","","","","","","","",""
