Date,Time,group,Transect,Zone,Points within Zone,distance on tape,Latitude,Longitude,quarter,species,Distance from point (m),Height (m),Circumference (cm),point location note
30/06/2015,9:49:13 AM,emu,,,,,,,,,,,,
30/06/2015,10:05:30 AM,emu,Landward-Creek,0-20m,Point 1,3,-25.44849482,152.9898811,,,,,,
30/06/2015,10:09:02 AM,emu,Landward-Creek,0-20m,Point 1,3,-25.44849331,152.9898812,quarter 1,Avicennia marina,0.4,1.3,14.5,
30/06/2015,10:11:49 AM,emu,Landward-Creek,0-20m,Point 1,3,,,quarter 2,Aegialitis annulata,0.5,0.7,5.5,
30/06/2015,10:13:14 AM,emu,Landward-Creek,0-20m,Point 1,3,,,quarter 3,Aegialitis annulata,0.7,0.8,9.5,
30/06/2015,10:13:52 AM,emu,Landward-Creek,0-20m,Point 1,3,,,quarter 4,Aegialitis annulata,0.4,0.4,10,
30/06/2015,10:16:46 AM,emu,Landward-Creek,20-40m,Point 1,30,-25.4483878,152.9896457,to next Transect point,Avicennia marina,0.4,1.3,14.5,
30/06/2015,10:18:00 AM,emu,Landward-Creek,20-40m,Point 1,30,,,quarter 1,Osbornia octodonta,0.5,0.5,3.5,
30/06/2015,10:19:14 AM,emu,Landward-Creek,20-40m,Point 1,30,,,quarter 2,Osbornia octodonta,0.4,0.3,2.5,
30/06/2015,10:21:01 AM,emu,Landward-Creek,20-40m,Point 1,30,,,quarter 3,Ceriops australis,0.6,0.5,6,
30/06/2015,10:21:54 AM,emu,Landward-Creek,20-40m,Point 1,30,,,quarter 4,Osbornia octodonta,0.2,0.4,2.5,
30/06/2015,10:23:12 AM,emu,Landward-Creek,20-40m,Point 2,38,-25.44833844,152.9895899,to next Transect point,Avicennia marina,0.4,1.3,14.5,
30/06/2015,10:24:21 AM,emu,Landward-Creek,20-40m,Point 2,38,,,quarter 1,Osbornia octodonta,1.4,0.4,3,
30/06/2015,10:25:35 AM,emu,Landward-Creek,20-40m,Point 2,38,,,quarter 2,Ceriops australis,0.6,0.3,0.4,
