"Date","Time","group","Transect","Zone","Points within Zone","distance on tape","Latitude","Longitude","quarter","species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"28/06/2015","9:51:03 AM","gary","","","","","","","","","","","",""
"28/06/2015","9:52:28 AM","gary","","","","","-25.44867321","152.98966079","","","","","",""
"28/06/2015","10:01:35 AM","gary","Landward-Creek","0-20m","Point 1","4.3","-25.44871864","152.98966681","","","","","",""
"28/06/2015","10:04:57 AM","gary","Landward-Creek","0-20m","Point 1","4.3","","","quarter 1","Ceriops australis","1.3","1","8",""
"28/06/2015","10:06:10 AM","gary","Landward-Creek","0-20m","Point 1","4.3","","","quarter 2","Aegialitis annulata","0.9","0.6","8",""
"28/06/2015","10:07:41 AM","gary","Landward-Creek","0-20m","Point 1","4.3","","","quarter 3","Ceriops australis","1","1.2","11",""
"28/06/2015","10:08:28 AM","gary","Landward-Creek","0-20m","Point 1","4.3","","","quarter 4","Ceriops australis","0.7","1","9",""
"28/06/2015","10:13:49 AM","gary","Landward-Creek","0-20m","Point 2","9.8","-25.44870224","152.98962627","to next Transect point","","","","",""
"28/06/2015","10:14:45 AM","gary","Landward-Creek","0-20m","Point 2","9.8","","","quarter 1","Avicennia marina","0.4","0.5","5",""
"28/06/2015","10:15:52 AM","gary","Landward-Creek","0-20m","Point 2","9.8","","","quarter 2","Avicennia marina","0.7","0.8","17",""
"28/06/2015","10:16:34 AM","gary","Landward-Creek","0-20m","Point 2","9.8","-25.44868776","152.98964863","to next Transect point","","","","",""
"28/06/2015","10:17:20 AM","gary","Landward-Creek","0-20m","Point 2","9.8","","","quarter 3","Aegialitis annulata","0.7","0.5","10",""
"28/06/2015","10:18:02 AM","gary","Landward-Creek","0-20m","Point 2","9.8","","","quarter 4","Avicennia marina","0.6","0.8","15",""
"28/06/2015","10:19:03 AM","gary","Landward-Creek","20-40m","Point 1","24.1","-25.44860191","152.98954416","to next Transect point","","","","",""
"28/06/2015","10:19:36 AM","gary","Landward-Creek","20-40m","Point 1","24.1","","","quarter 1","Ceriops australis","0.8","0.4","6",""
"28/06/2015","10:20:00 AM","gary","Landward-Creek","20-40m","Point 1","24.1","","","quarter 2","Ceriops australis","0.4","0.6","8",""
"28/06/2015","10:22:01 AM","gary","Landward-Creek","20-40m","Point 1","24.1","","","quarter 3","Avicennia marina","0.7","0.7","14",""
"28/06/2015","10:22:28 AM","gary","Landward-Creek","20-40m","Point 1","24.1","","","quarter 4","Ceriops australis","1.1","1","10",""
"28/06/2015","10:23:48 AM","gary","Landward-Creek","40-60m","Point 1","46.9","-25.4484506","152.98939168","to next Transect point","","","","",""
"28/06/2015","10:24:17 AM","gary","Landward-Creek","40-60m","Point 1","46.9","","","quarter 1","Ceriops australis","1","0.8","8",""
"28/06/2015","10:25:32 AM","gary","Landward-Creek","40-60m","Point 1","46.9","","","quarter 2","Osbornia octodonta","0.6","0.2","4",""
"28/06/2015","10:25:58 AM","gary","Landward-Creek","40-60m","Point 1","46.9","","","quarter 3","Ceriops australis","0.5","0.4","3",""
"28/06/2015","10:26:27 AM","gary","Landward-Creek","40-60m","Point 1","46.9","","","quarter 4","Ceriops australis","1.1","0.9","12",""
"28/06/2015","10:26:49 AM","gary","Landward-Creek","40-60m","Point 1","46.9","-25.44843255","152.98939222","to next exercise","","","","",""
"28/06/2015","10:27:18 AM","gary","Landward-Creek","40-60m","Point 2","53.1","-25.44840685","152.98935004","to next exercise","","","","",""
"28/06/2015","10:27:34 AM","gary","Landward-Creek","40-60m","Point 2","53.1","","","quarter 1","Ceriops australis","0.9","0.9","12",""
"28/06/2015","10:28:13 AM","gary","Landward-Creek","40-60m","Point 2","53.1","","","quarter 2","Osbornia octodonta","1.6","0.3","3",""
"28/06/2015","10:28:41 AM","gary","Landward-Creek","40-60m","Point 2","53.1","","","quarter 3","Ceriops australis","0.7","0.8","10",""
"28/06/2015","10:29:18 AM","gary","Landward-Creek","40-60m","Point 2","53.1","","","quarter 4","Ceriops australis","1.3","1.1","24",""
"28/06/2015","10:30:12 AM","gary","Landward-Creek","60-80m","Point 1","68.6","-25.44832963","152.98922295","to next Transect point","","","","",""
"28/06/2015","10:30:46 AM","gary","Landward-Creek","60-80m","Point 1","68.6","","","quarter 1","Osbornia octodonta","0.7","0.5","4",""
"28/06/2015","10:31:33 AM","gary","Landward-Creek","60-80m","Point 1","68.6","","","quarter 2","Osbornia octodonta","1.1","0.4","5",""
"28/06/2015","10:32:08 AM","gary","Landward-Creek","60-80m","Point 1","68.6","","","quarter 3","Avicennia marina","0.7","0.2","9",""
