"Date","Time","group","Transect","Zone","Points within Zone","distance on tape","Latitude","Longitude","quarter","species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"4/07/2015","12:57:08 PM","tea","","","","","","","","","","","",""
"4/07/2015","12:57:16 PM","tea","","","","","-25.44834444","152.98763195","","","","","",""
"4/07/2015","1:03:26 PM","tea","Seaward","0-20m","Point 1","12","-25.44804254","152.98725983","","","","","",""
"4/07/2015","1:05:18 PM","tea","Seaward","0-20m","Point 1","12","","","quarter 1","Avicennia marina","2.4","8","125",""
"4/07/2015","1:07:08 PM","tea","Seaward","0-20m","Point 1","12","","","quarter 2","Rhizophora stylosa","4.9","2.1","23",""
"4/07/2015","1:08:00 PM","tea","Seaward","0-20m","Point 1","12","","","quarter 3","Rhizophora stylosa","3","2.5","24",""
"4/07/2015","1:08:54 PM","tea","Seaward","0-20m","Point 1","12","","","quarter 4","Avicennia marina","3.4","5","161",""
"4/07/2015","1:09:34 PM","tea","Seaward","0-20m","Point 2","17","-25.44813426","152.98721664","to next Transect point","","","","",""
"4/07/2015","1:11:31 PM","tea","Seaward","0-20m","Point 2","17","","","quarter 1","Rhizophora stylosa","6.4","5.5","143",""
"4/07/2015","1:12:49 PM","tea","Seaward","0-20m","Point 2","17","","","quarter 2","Rhizophora stylosa","2.1","3.5","26",""
"4/07/2015","1:13:57 PM","tea","Seaward","0-20m","Point 2","17","","","quarter 3","Rhizophora stylosa","2.3","2.5","25",""
"4/07/2015","1:14:38 PM","tea","Seaward","0-20m","Point 2","17","","","quarter 4","Avicennia marina","4.4","7","56",""
"4/07/2015","1:16:02 PM","tea","Seaward","20-40m","Point 1","28.8","-25.44815236","152.98721559","to next Transect point","","","","",""
"4/07/2015","1:16:33 PM","tea","Seaward","20-40m","Point 1","28.8","","","quarter 1","Rhizophora stylosa","2.4","4.5","66",""
"4/07/2015","1:17:17 PM","tea","Seaward","20-40m","Point 1","28.8","","","quarter 2","Rhizophora stylosa","4.6","2.4","14",""
"4/07/2015","1:18:13 PM","tea","Seaward","20-40m","Point 1","28.8","","","quarter 3","Rhizophora stylosa","0.4","1.9","14",""
"4/07/2015","1:19:03 PM","tea","Seaward","20-40m","Point 1","28.8","","","quarter 4","Avicennia marina","1.6","7.4","94",""
"4/07/2015","1:19:55 PM","tea","Seaward","20-40m","Point 2","35.5","-25.44815379","152.9872185","to next Transect point","","","","",""
