"Date","Time","group","Transect","Zone","Points within Zone","distance on tape","Latitude","Longitude","quarter","species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"2/07/2015","9:36:37 AM","canon","","","","","","","","","","","",""
"2/07/2015","9:36:58 AM","canon","","","","","-25.44828656","152.98988331","","","","","",""
"2/07/2015","9:44:10 AM","canon","Landward-Creek","0-20m","Point 1","8.8","-25.4482764","152.98990981","","","","","",""
"2/07/2015","9:47:11 AM","canon","Landward-Creek","0-20m","Point 1","8.8","","","quarter 1","Osbornia octodonta","0.2","0.4","1",""
"2/07/2015","9:49:28 AM","canon","Landward-Creek","0-20m","Point 1","8.8","","","quarter 2","Ceriops australis","0.4","0.6","4.5",""
"2/07/2015","9:51:32 AM","canon","Landward-Creek","0-20m","Point 1","8.8","","","quarter 3","Osbornia octodonta","0.9","1.1","15",""
"2/07/2015","9:52:46 AM","canon","Landward-Creek","0-20m","Point 1","8.8","","","quarter 4","Osbornia octodonta","0.9","0.5","4",""
"2/07/2015","9:53:36 AM","canon","Landward-Creek","0-20m","Point 2","15","-25.44825231","152.98987231","to next Transect point","","","","",""
"2/07/2015","9:56:14 AM","canon","Landward-Creek","0-20m","Point 2","15","","","quarter 1","Avicennia marina","0.6","0.5","18",""
"2/07/2015","9:57:11 AM","canon","Landward-Creek","0-20m","Point 2","15","","","quarter 2","Ceriops australis","1","0.8","22",""
"2/07/2015","9:58:09 AM","canon","Landward-Creek","0-20m","Point 2","15","","","quarter 3","Osbornia octodonta","0.5","0.7","9",""
"2/07/2015","9:58:54 AM","canon","Landward-Creek","0-20m","Point 2","15","","","quarter 4","Ceriops australis","1","0.9","22",""
"2/07/2015","9:59:54 AM","canon","Landward-Creek","20-40m","Point 1","26","-25.44819055","152.98978051","to next Transect point","","","","",""
"2/07/2015","10:00:40 AM","canon","Landward-Creek","20-40m","Point 1","26","","","quarter 1","Ceriops australis","0.3","0.6","7",""
"2/07/2015","10:01:25 AM","canon","Landward-Creek","20-40m","Point 1","26","","","quarter 2","Ceriops australis","0.6","0.7","7",""
"2/07/2015","10:02:07 AM","canon","Landward-Creek","20-40m","Point 1","26","","","quarter 3","Ceriops australis","1.3","0.8","12",""
"2/07/2015","10:02:55 AM","canon","Landward-Creek","20-40m","Point 1","26","","","quarter 4","Ceriops australis","0.6","1.2","23",""
"2/07/2015","10:04:49 AM","canon","Landward-Creek","40-60m","Point 1","44.5","-25.4481077","152.98960676","to next Transect point","","","","",""
"2/07/2015","10:06:14 AM","canon","Landward-Creek","40-60m","Point 1","44.5","","","quarter 1","Ceriops australis","1","0.3","5",""
"2/07/2015","10:08:18 AM","canon","Landward-Creek","40-60m","Point 1","44.5","","","quarter 2","Avicennia marina","0.8","0.2","5",""
"2/07/2015","10:08:37 AM","canon","Landward-Creek","40-60m","Point 1","44.5","","","quarter 3","Ceriops australis","0.7","0.3","4",""
