Date,Time,group,Latitude,Longitude,location notes,zonal point,Intertidal zone,TapePoint,quarter,Distance from point,Height,Circumference,stems,Bud 1 Live,Bud 1 Dead,Bud 2 Live,Bud 2 Dead,Bud 3 Live,Bud 3 Dead,Leaf,leaf distorted ?,% of leaf missing,number of Mines,number of Galls
30/06/2015,11:54:55 AM,emu,,,,,,,,,,,,,,,,,,,,,,
30/06/2015,11:55:00 AM,emu,-25.44767038,152.9881452,,,,,,,,,,,,,,,,,,,,
30/06/2015,11:55:23 AM,emu,-25.44767155,152.9881464,,Seaward,High,90,,,,,,,,,,,,,,,,
30/06/2015,11:58:52 AM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 1,,TRUE,,,,,Leaf 1,,0,0,0
30/06/2015,11:58:57 AM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 1,,TRUE,,,,,Leaf 2,,0,0,0
30/06/2015,12:00:18 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 1,,TRUE,,,,,Leaf 3,,15,0,0
30/06/2015,12:00:36 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 1,,TRUE,,,,,Leaf 4,,100,0,0
30/06/2015,12:00:54 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 1,,TRUE,,,,,Leaf 5,,1,0,0
30/06/2015,12:01:08 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 1,,TRUE,,,,,Leaf 6,,1,0,0
30/06/2015,12:02:12 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 2,,TRUE,,,,,Leaf 1,,0,0,0
30/06/2015,12:02:15 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 2,,TRUE,,,,,Leaf 2,,0,0,0
30/06/2015,12:02:52 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 2,,TRUE,,,,,Leaf 3,,0,0,1
30/06/2015,12:03:00 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 2,,TRUE,,,,,Leaf 4,,0,0,0
30/06/2015,12:03:05 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 2,,TRUE,,,,,Leaf 5,,0,0,0
30/06/2015,12:03:10 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 2,,TRUE,,,,,Leaf 6,,0,0,0
30/06/2015,12:03:56 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 3,TRUE,,,,,,Leaf 1,,0,0,0
30/06/2015,12:04:00 PM,emu,,,,Seaward,High,90,quarter 1,1.62,1,7.4,stem 3,TRUE,,,,,,Leaf 2,,0,0,0
