Date,Time,group,Latitude,Longitude,location notes,zonal point,Intertidal zone,TapePoint,quarter,Distance from point,Height,Circumference,stems,Bud 1 Live,Bud 1 Dead,Bud 2 Live,Bud 2 Dead,Bud 3 Live,Bud 3 Dead,Leaf,leaf distorted ?,% of leaf missing,number of Mines,number of Galls
14/05/2015,2:33:17 PM,Anthony,,,,,,,,,,,,,,,,,,,,,,
27/06/2015,1:16:36 PM,derek,,,,,,,,,,,,,,,,,,,,,,
27/06/2015,1:16:49 PM,derek,-25.44893272,152.9894339,,,,,,,,,,,,,,,,,,,,
27/06/2015,1:17:33 PM,derek,-25.44886384,152.9894845,,Landward - Creek,Low,7,,,,,,,,,,,,,,,,
27/06/2015,1:19:05 PM,derek,-25.44887266,152.9894918,,Landward - Creek,Low,7.2,return to transect point,,,,,,,,,,,,,,,
27/06/2015,1:22:29 PM,derek,,,,Landward - Creek,Low,7.2,quarter 1,0.1,1.2,20,stem 1,TRUE,,,TRUE,,TRUE,Leaf 2,,,0,5
27/06/2015,1:24:02 PM,derek,,,,Landward - Creek,Low,7.2,quarter 1,0.1,1.2,20,stem 1,TRUE,,,TRUE,,TRUE,Leaf 1,,0,9,0
27/06/2015,1:24:07 PM,derek,,,,Landward - Creek,Low,7.2,quarter 1,0.1,1.2,20,stem 1,TRUE,,,TRUE,,TRUE,Leaf 2,,0,0,0
27/06/2015,1:24:53 PM,derek,,,,Landward - Creek,Low,7.2,quarter 1,0.1,1.2,20,stem 1,TRUE,,,TRUE,,TRUE,Leaf 3,,0,0,0
27/06/2015,1:25:02 PM,derek,,,,Landward - Creek,Low,7.2,quarter 1,0.1,1.2,20,stem 1,TRUE,,,TRUE,,TRUE,Leaf 3,,0,2,0
27/06/2015,1:25:20 PM,derek,,,,Landward - Creek,Low,7.2,quarter 1,0.1,1.2,20,stem 1,TRUE,,,TRUE,,TRUE,Leaf 4,,5,1,0
