"Date","Time","group","Latitude","Longitude","location notes","zonal point","Intertidal zone","TapePoint","quarter","Distance from point","Height","Circumference","stems","Bud 1 Live","Bud 1 Dead","Bud 2 Live","Bud 2 Dead","Bud 3 Live","Bud 3 Dead","Leaf","leaf distorted ?","% of leaf missing","number of Mines","number of Galls"
"28/06/2015","12:09:22 PM","gary","","","","","","","","","","","","","","","","","","","","","",""
"28/06/2015","12:09:33 PM","gary","-25.44701294","152.98794561","","","","","","","","","","","","","","","","","","","",""
"28/06/2015","12:10:16 PM","gary","-25.44701724","152.98794432","","Seaward","Low","15","","","","","","","","","","","","","","","",""
"28/06/2015","12:11:41 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 1","True","","True","","","","Leaf 1","True","50","",""
"28/06/2015","12:11:57 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 1","True","","True","","","","Leaf 2","True","10","",""
"28/06/2015","12:12:03 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 1","True","","True","","","","Leaf 3","True","10","",""
"28/06/2015","12:12:12 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 1","True","","True","","","","Leaf 4","True","5","",""
"28/06/2015","12:12:21 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 1","True","","True","","","","Leaf 5","True","30","",""
"28/06/2015","12:12:31 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 1","True","","True","","","","Leaf 5","","10","",""
"28/06/2015","12:12:46 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 1","True","","True","","","","Leaf 6","","70","1",""
"28/06/2015","12:14:57 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 2","True","","","True","True","","Leaf 1","True","80","0","3"
"28/06/2015","12:15:23 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 2","True","","","True","True","","Leaf 2","True","85","0","2"
"28/06/2015","12:15:46 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 2","True","","","True","True","","Leaf 3","True","2","0","0"
"28/06/2015","12:16:48 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 2","True","","","True","True","","Leaf 4","","10","0","0"
"28/06/2015","12:17:06 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 2","True","","","True","True","","Leaf 4","","20","0","0"
"28/06/2015","12:17:25 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 2","True","","","True","True","","Leaf 5","","60","0","0"
"28/06/2015","12:18:13 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 2","True","","","True","True","","Leaf 6","","2","0","0"
