Date,Time,group,Latitude,Longitude,location notes,zonal point,Intertidal zone,TapePoint,quarter,Distance from point,Height,Circumference,stems,Bud 1 Live,Bud 1 Dead,Bud 2 Live,Bud 2 Dead,Bud 3 Live,Bud 3 Dead,Leaf,leaf distorted ?,% of leaf missing,number of Mines,number of Galls
5/07/15,10:28:04 am,boots,,,,,,,,,,,,,,,,,,,,,,
5/07/15,10:30:49 am,boots,-25.44729358,152.9898632,,,,,,,,,,,,,,,,,,,,
5/07/15,10:36:39 am,boots,-25.44733759,152.9898077,,,,,,,,,,,,,,,,,,,,
5/07/15,10:38:07 am,boots,-25.44734598,152.9897941,,Landward - Creek,High,100,,,,,,,,,,,,,,,,
5/07/15,10:41:33 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 1,TRUE,,,TRUE,,,Leaf 1,,0,0,0
5/07/15,10:41:53 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 1,TRUE,,,TRUE,,,Leaf 2,,20,0,0
5/07/15,10:42:17 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 1,TRUE,,,TRUE,,,Leaf 3,,5,0,0
5/07/15,10:42:38 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 1,TRUE,,,TRUE,,,Leaf 4,,10,0,0
5/07/15,10:42:57 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 1,TRUE,,,TRUE,,,Leaf 5,,40,0,0
5/07/15,10:43:23 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 1,TRUE,,,TRUE,,,Leaf 6,TRUE,5,0,0
5/07/15,10:44:18 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 2,,TRUE,,TRUE,,TRUE,Leaf 1,,0,0,0
5/07/15,10:44:29 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 2,,TRUE,,TRUE,,TRUE,Leaf 2,,0,0,0
5/07/15,10:44:46 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 2,,TRUE,,TRUE,,TRUE,Leaf 3,TRUE,10,0,0
5/07/15,10:45:01 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 2,,TRUE,,TRUE,,TRUE,Leaf 4,,40,0,0
5/07/15,10:45:20 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 2,,TRUE,,TRUE,,TRUE,Leaf 5,TRUE,3,0,0
5/07/15,10:45:30 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 2,,TRUE,,TRUE,,TRUE,Leaf 6,TRUE,5,0,0
5/07/15,10:46:25 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 3,TRUE,,,TRUE,,TRUE,Leaf 1,TRUE,10,0,0
5/07/15,10:46:33 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 3,TRUE,,,TRUE,,TRUE,Leaf 2,,0,0,0
5/07/15,10:46:45 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 3,TRUE,,,TRUE,,TRUE,Leaf 3,,10,0,0
5/07/15,10:47:03 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 3,TRUE,,,TRUE,,TRUE,Leaf 4,,30,0,0
5/07/15,10:47:34 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 3,TRUE,,,TRUE,,TRUE,Leaf 5,TRUE,15,0,0
5/07/15,10:47:44 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 3,TRUE,,,TRUE,,TRUE,Leaf 6,,15,0,0
5/07/15,10:48:16 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 4,,TRUE,,TRUE,,,Leaf 1,,0,0,0
5/07/15,10:48:31 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 4,,TRUE,,TRUE,,,Leaf 2,,0,0,0
5/07/15,10:48:39 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 4,,TRUE,,TRUE,,,Leaf 3,TRUE,5,0,0
5/07/15,10:49:00 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 4,,TRUE,,TRUE,,,Leaf 4,TRUE,0,0,0
5/07/15,10:49:12 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 4,,TRUE,,TRUE,,,Leaf 5,TRUE,5,0,0
5/07/15,10:49:27 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 4,,TRUE,,TRUE,,,Leaf 6,,6,0,0
5/07/15,10:50:39 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 5,TRUE,,TRUE,,,,Leaf 1,TRUE,1,0,0
5/07/15,10:50:48 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 5,TRUE,,TRUE,,,,Leaf 2,,0,0,0
5/07/15,10:51:08 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 5,TRUE,,TRUE,,,,Leaf 3,,2,0,0
5/07/15,10:51:19 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 5,TRUE,,TRUE,,,,Leaf 4,,0,0,0
5/07/15,10:51:36 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 5,TRUE,,TRUE,,,,Leaf 5,TRUE,30,0,0
5/07/15,10:51:51 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 5,TRUE,,TRUE,,,,Leaf 6,,25,0,0
5/07/15,10:52:45 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 6,,TRUE,,TRUE,,TRUE,Leaf 1,TRUE,0,0,0
5/07/15,10:52:58 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 6,,TRUE,,TRUE,,TRUE,Leaf 2,TRUE,0,0,0
5/07/15,10:53:12 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 6,,TRUE,,TRUE,,TRUE,Leaf 3,,20,0,0
5/07/15,10:53:22 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 6,,TRUE,,TRUE,,TRUE,Leaf 4,,2,0,0
5/07/15,10:53:39 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 6,,TRUE,,TRUE,,TRUE,Leaf 5,TRUE,8,0,0
5/07/15,10:53:54 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 6,,TRUE,,TRUE,,TRUE,Leaf 6,TRUE,40,0,0
5/07/15,10:54:45 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 7,TRUE,,TRUE,,TRUE,,Leaf 1,,2,0,0
5/07/15,10:55:02 am,boots,,,,Landward - Creek,High,100,quarter 1,0.8,0.8,8,stem 7,TRUE,,TRUE,,TRUE,,Leaf 2,,30,0,0
