"Date","Time","group","Latitude","Longitude","location notes","zonal point","Intertidal zone","TapePoint","quarter","Distance from point","Height","Circumference","stems","Bud 1 Live","Bud 1 Dead","Bud 2 Live","Bud 2 Dead","Bud 3 Live","Bud 3 Dead","Leaf","leaf distorted ?","% of leaf missing","number of Mines","number of Galls"
"3/07/2015","10:18:28 AM","one","","","","","","","","","","","","","","","","","","","","","",""
"3/07/2015","10:19:19 AM","one","-25.4480904","152.98936469","","","","","","","","","","","","","","","","","","","",""
"3/07/2015","10:20:03 AM","one","-25.44807714","152.98929264","","Landward - Creek","High","100","","","","","","","","","","","","","","","",""
"3/07/2015","10:22:29 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 1","","True","","","","","Leaf 1","True","5","0","0"
"3/07/2015","10:25:06 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 1","","True","","","","","Leaf 2","True","5","0","1"
"3/07/2015","10:25:36 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 1","","True","","","","","Leaf 3","","","",""
"3/07/2015","10:25:46 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 1","","True","","","","","Leaf 3","","0","0","0"
"3/07/2015","10:26:07 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 1","","True","","","","","Leaf 4","","0","0","1"
"3/07/2015","10:26:40 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 1","","True","","","","","Leaf 5","","0","0","2"
"3/07/2015","10:26:59 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 1","","True","","","","","Leaf 6","","0","0","1"
"3/07/2015","10:29:02 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 2","True","","True","","True","","Leaf 1","","3","0","0"
"3/07/2015","10:29:16 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 2","True","","True","","True","","Leaf 2","","1","0","0"
"3/07/2015","10:29:22 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 2","True","","True","","True","","Leaf 3","","0","0","0"
"3/07/2015","10:29:30 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 2","True","","True","","True","","Leaf 3","","0","0","0"
"3/07/2015","10:29:35 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 2","True","","True","","True","","Leaf 4","","0","0","0"
"3/07/2015","10:29:39 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 2","True","","True","","True","","Leaf 5","","0","0","0"
"3/07/2015","10:29:43 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 2","True","","True","","True","","Leaf 6","","0","0","0"
"3/07/2015","10:30:11 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 3","True","","","","","","Leaf 1","True","0","0","6"
"3/07/2015","10:30:24 AM","one","","","","Landward - Creek","High","100","quarter 1","2.1","0.5","8","stem 3","True","","","","","","Leaf 2","True","10","0","3"
