"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Acacia flavescens","Acacia leiocalyx","Acronychia imperforata","Allocasaurina littoralis","Angophora leiocarpa","Astrotricha longifolia","Alphitonia excelsa","Austromyrtus dulcis","Banksia integrifolia subsp. integrifolia","Banksia oblongifolia","Banksia serrata","Callitris Pine","Carpobrotus glaucescens","Casuarina equisetifolia","Casuarina glauca","Commelina diffusa","Cyclophyllum coprosmoides","Dianella caerulea","Eucalyptus melanoleuca","Eucalyptus pilularis","Helichrysum oxylepis subsp. Fraser Is","Hibbertia linearis","Hibbertia scandens","Hydrocotyle bonariensis","Leptospermum sp","Leucopogan ericoides","Lomandra confertifolia","Lomandra obliqua","Lophostemon confertus","Monotoca sp. Fraser Island","Ozothamnus sp.","Platysace lanceolata","Pteridium esculentum","Passiflora sp.","Ricinocarpos pinifolius","Schizaea bifida","Xylomelum salicinum","unknown sp1","unknown sp2","unknown sp3","unknown sp4","unknown sp5","unknown sp6","unknown sp7","unknown sp8"
"27/06/2015","9:57:03 AM","","","scv","1x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","True","","","","","","",""
"27/06/2015","9:59:10 AM","","","scv","2x1","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","10:03:30 AM","","","scv","2x2","","","","","","","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","True","","","","","",""
"27/06/2015","10:08:44 AM","","","scv","4x2","","","","","","","","","","","True","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","","",""
"27/06/2015","10:10:09 AM","","","scv","4x4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","10:14:26 AM","","","scv","8x4","","","","","","","","","","","","","","","","","","True","","","","","","","","","","True","","","","","","","","","","","","True","","","","",""
"27/06/2015","10:32:52 AM","","","scv","8x8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","10:39:58 AM","","","scv","16x8","","","","","","","","True","","","","","","","True","","","","","","","True","","","","","","","","","","","","","","","","","","","True","","","",""
"27/06/2015","10:51:50 AM","","","scv","16x16","","True","","","","","","","","","","","","","","","True","","","","","","","","","","","","","True","","","","True","","","","","","","","True","","",""
"27/06/2015","10:52:23 AM","-25.59834922","153.08966368","scv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","3:19:09 PM","","","Red Team","1x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","3:21:00 PM","","","Red Team","2x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","True","","","","","",""
"27/06/2015","3:23:17 PM","","","Red Team","2x2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/06/2015","3:24:11 PM","","","Red Team","4x2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","",""
