"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Acacia flavescens","Acacia leiocalyx","Acronychia imperforata","Allocasaurina littoralis","Angophora leiocarpa","Astrotricha longifolia","Alphitonia excelsa","Austromyrtus dulcis","Banksia integrifolia subsp. integrifolia","Banksia oblongifolia","Banksia serrata","Callitris Pine","Carpobrotus glaucescens","Casuarina equisetifolia","Casuarina glauca","Commelina diffusa","Cyclophyllum coprosmoides","Dianella caerulea","Eucalyptus melanoleuca","Eucalyptus pilularis","Helichrysum oxylepis subsp. Fraser Is","Hibbertia linearis","Hibbertia scandens","Hydrocotyle bonariensis","Leptospermum sp","Leucopogan ericoides","Lomandra confertifolia","Lomandra obliqua","Lophostemon confertus","Monotoca sp. Fraser Island","Ozothamnus sp.","Platysace lanceolata","Pteridium esculentum","Passiflora sp.","Ricinocarpos pinifolius","Schizaea bifida","Xylomelum salicinum","unknown sp1","unknown sp2","unknown sp3","unknown sp4","unknown sp5","unknown sp6","unknown sp7","unknown sp8"
"28/06/2015","9:53:25 AM","","","GreenScrigglyGum","1x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","True","","","","","","","","","","","",""
"28/06/2015","9:54:22 AM","","","GreenScrigglyGum","2x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28/06/2015","9:57:34 AM","","","GreenScrigglyGum","2x2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","","",""
"28/06/2015","10:00:15 AM","","","GreenScrigglyGum","4x2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","","","",""
"28/06/2015","10:08:39 AM","","","GreenScrigglyGum","4x4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","",""
"28/06/2015","10:16:49 AM","","","GreenScrigglyGum","8x4","","","","","True","","","","","","","","","","","True","","","","","","True","","","","","True","","","","","","","","","","","","","True","","","","",""
"28/06/2015","10:21:00 AM","","","GreenScrigglyGum","8x8","","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","True","","","","","","","","","","","","","","",""
"28/06/2015","10:30:25 AM","","","GreenScrigglyGum","16x8","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","True","","","","","","True","True","","",""
"28/06/2015","10:39:31 AM","","","GreenScrigglyGum","16x16","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","","","True","",""
"28/06/2015","10:41:16 AM","-25.58954074","153.08386424","GreenScrigglyGum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
