"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Acacia flavescens","Acacia leiocalyx","Acronychia imperforata","Allocasaurina littoralis","Angophora leiocarpa","Astrotricha longifolia","Alphitonia excelsa","Austromyrtus dulcis","Banksia integrifolia subsp. integrifolia","Banksia oblongifolia","Banksia serrata","Callitris Pine","Carpobrotus glaucescens","Casuarina equisetifolia","Casuarina glauca","Commelina diffusa","Cyclophyllum coprosmoides","Dianella caerulea","Eucalyptus melanoleuca","Eucalyptus pilularis","Helichrysum oxylepis subsp. Fraser Is","Hibbertia linearis","Hibbertia scandens","Hydrocotyle bonariensis","Leptospermum sp","Leucopogan ericoides","Lomandra confertifolia","Lomandra obliqua","Lophostemon confertus","Monotoca sp. Fraser Island","Ozothamnus sp.","Platysace lanceolata","Pteridium esculentum","Passiflora sp.","Ricinocarpos pinifolius","Schizaea bifida","Xylomelum salicinum","unknown sp1","unknown sp2","unknown sp3","unknown sp4","unknown sp5","unknown sp6","unknown sp7","unknown sp8"
"30/06/2015","1:53:43 PM","","","boomanjin open tall forest burnt","1x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","True","True","","","","","",""
"30/06/2015","1:55:00 PM","","","boomanjin open tall forest burnt","2x1","","","","","","","","","","","","","","","","","","","","","","","","","","True","","True","","","","","","","","","","","","True","","","","",""
"30/06/2015","1:55:27 PM","","","boomanjin open tall forest burnt","2x2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","",""
"30/06/2015","1:56:13 PM","","","boomanjin open tall forest burnt","4x2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30/06/2015","1:57:29 PM","","","boomanjin open tall forest burnt","4x4","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30/06/2015","1:59:33 PM","","","boomanjin open tall forest burnt","8x4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30/06/2015","2:12:01 PM","","","boomanjin open tall forest burnt","8x8","","True","","","","","","","True","","","","","","","","","","","True","","","","","","","","","","","","True","","","True","","","","","","","","","",""
"30/06/2015","2:13:30 PM","","","boomanjin open tall forest burnt","16x8","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","True","","",""
"30/06/2015","2:17:30 PM","","","boomanjin open tall forest burnt","16x16","True","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30/06/2015","2:19:48 PM","-25.55885268","153.06876251","boomanjin open tall forest burnt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
