"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Acacia flavescens","Acacia leiocalyx","Acronychia imperforata","Allocasaurina littoralis","Angophora leiocarpa","Astrotricha longifolia","Alphitonia excelsa","Austromyrtus dulcis","Banksia integrifolia subsp. integrifolia","Banksia oblongifolia","Banksia serrata","Callitris Pine","Carpobrotus glaucescens","Casuarina equisetifolia","Casuarina glauca","Commelina diffusa","Cyclophyllum coprosmoides","Dianella caerulea","Eucalyptus melanoleuca","Eucalyptus pilularis","Helichrysum oxylepis subsp. Fraser Is","Hibbertia linearis","Hibbertia scandens","Hydrocotyle bonariensis","Leptospermum sp","Leucopogan ericoides","Lomandra confertifolia","Lomandra obliqua","Lophostemon confertus","Monotoca sp. Fraser Island","Ozothamnus sp.","Platysace lanceolata","Pteridium esculentum","Passiflora sp.","Ricinocarpos pinifolius","Schizaea bifida","Xylomelum salicinum","unknown sp1","unknown sp2","unknown sp3","unknown sp4","unknown sp5","unknown sp6","unknown sp7","unknown sp8","Leucopogan pimeleoides","Quadrat Size","Quadrat Size","Time","Group name","unknown sp1"
"5/07/2015","12:36:21 PM","","","yellow tall forest","1x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","True","","","","","","","","","1x1","1x1","12:36:21 PM","yellow tall forest","True"
"5/07/2015","12:39:15 PM","","","yellow tall forest","2x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","2x1","2x1","12:39:15 PM","yellow tall forest",""
"5/07/2015","12:40:15 PM","","","yellow tall forest","2x2","","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2x2","2x2","12:40:15 PM","yellow tall forest",""
"5/07/2015","12:42:50 PM","","","yellow tall forest","4x2","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4x2","4x2","12:42:50 PM","yellow tall forest",""
"5/07/2015","12:44:24 PM","","","yellow tall forest","4x4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4x4","4x4","12:44:24 PM","yellow tall forest",""
"5/07/2015","12:46:52 PM","","","yellow tall forest","8x4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","8x4","8x4","12:46:52 PM","yellow tall forest",""
"5/07/2015","12:55:07 PM","","","yellow tall forest","8x8","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","","8x8","8x8","12:55:07 PM","yellow tall forest",""
"5/07/2015","1:09:47 PM","","","yellow tall forest","16x8","True","","","","","True","","","","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","True","","","","","","","True","16x8","16x8","1:09:47 PM","yellow tall forest",""
"5/07/2015","1:15:50 PM","","","yellow tall forest","16x16","","","","","","","","","True","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","16x16","16x16","1:15:50 PM","yellow tall forest",""
"5/07/2015","1:16:05 PM","-25.55844115","153.06753118","yellow tall forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1:16:05 PM","yellow tall forest",""
