"Date","Time","Group Name","Latitude","Longitude","Altitude","Forest Type","Hole Diameter"
"28/06/2015","8:06:31 AM","tedt","","","","",""
"28/06/2015","8:13:48 AM","Sunshine","","","","",""
"28/06/2015","8:16:04 AM","Sunshine","-25.59891789","153.09146623","53.4000015258789","",""
"28/06/2015","8:18:51 AM","Sunshine","","","","","500000"
"28/06/2015","8:18:58 AM","Sunshine","-25.59893751","153.09142557","61.0999984741211","","500000"
"28/06/2015","8:19:06 AM","Sunshine","-25.59893502","153.09142306","62.5999984741211","Low Open","50000000"
"28/06/2015","8:19:44 AM","Sunshine","-25.59892925","153.09141876","62.7999992370605","","500000"
"28/06/2015","8:19:54 AM","Sunshine","-25.59892919","153.09141872","62.7999992370605","Low Open","50000000"
"28/06/2015","9:40:02 AM","Sunshine","-25.5896459","153.08402779","78.1999969482422","","500000"
"28/06/2015","8:05:56 AM","test","","","","",""
"28/06/2015","8:14:14 AM","snakes","","","","",""
"28/06/2015","8:14:26 AM","snakes","-25.598597","153.09152516","59","",""
"28/06/2015","8:19:04 AM","snakes","","","","","500"
"28/06/2015","8:19:10 AM","snakes","-25.59887182","153.09143629","57.7999992370605","","500"
"28/06/2015","8:20:17 AM","snakes","-25.59888615","153.09143248","57","","600"
"28/06/2015","8:20:28 AM","snakes","-25.59889503","153.09143746","58.0999984741211","","600"
"28/06/2015","8:20:34 AM","snakes","-25.59890364","153.09144053","58.9000015258789","Medium Open","600"
"28/06/2015","9:45:06 AM","green1 scribblygum","","","","","600"
"28/06/2015","9:45:16 AM","green1 scribblygum","-25.58964475","153.08404356","97.8000030517578","","600"
"28/06/2015","9:55:37 AM","green1 scribblygum","","","","","600"
"28/06/2015","9:55:46 AM","green1 scribblygum","-25.58985985","153.08403603","67.5","","600"
"28/06/2015","9:57:19 AM","green1 scribblygum","-25.58986021","153.08400253","80.8000030517578","","10"
"28/06/2015","9:57:27 AM","green1 scribblygum","-25.58986504","153.08400429","81","Medium Open","10"
"28/06/2015","3:09:55 PM","green1 scribblygum","-25.55731748","153.06647258","145.399993896484","","10"
"28/06/2015","3:22:33 PM","green1 scribblygum","-25.56108661","153.0699168","170.399993896484","","10"
"28/06/2015","3:45:24 PM","green1 scribblygum","-25.57266393","153.07343233","154.5","","10"
"28/06/2015","3:48:14 PM","green1 scribblygum","-25.57271746","153.07351195","152","Medium Open","25"
"28/06/2015","3:48:35 PM","green1 scribblygum","-25.57271757","153.0735121","152","Medium Open","30"
"28/06/2015","3:48:57 PM","green1 scribblygum","-25.57271519","153.0735285","153.699996948242","Medium Open","20"
"28/06/2015","3:49:35 PM","green1 scribblygum","-25.57271491","153.07353193","156.300003051758","Medium Open","35"
"28/06/2015","3:51:18 PM","green1 scribblygum","-25.57276924","153.0735979","155.199996948242","Medium Open","20"
"28/06/2015","3:51:27 PM","green1 scribblygum","-25.57276933","153.07359785","155.199996948242","Medium Open","20"
"28/06/2015","3:52:57 PM","green1 scribblygum","-25.57286898","153.07354883","152.300003051758","Medium Open","25"
"28/06/2015","3:53:41 PM","green1 scribblygum","-25.57294265","153.07352795","151.100006103516","Medium Open","28"
"28/06/2015","3:54:03 PM","green1 scribblygum","-25.57294018","153.07352415","151.100006103516","Medium Open","40"
"28/06/2015","3:55:24 PM","green1 scribblygum","-25.57302733","153.0735688","154.199996948242","Medium Open","30"
"28/06/2015","3:55:37 PM","green1 scribblygum","-25.57308627","153.07362851","152.800003051758","Medium Open","20"
"28/06/2015","3:55:41 PM","green1 scribblygum","-25.57311116","153.07366264","152.399993896484","Medium Open","15"
"28/06/2015","3:56:18 PM","green1 scribblygum","-25.5731308","153.07371265","151.899993896484","Medium Open","25"
"28/06/2015","3:59:26 PM","green1 scribblygum","-25.57358714","153.0737309","153.600006103516","Medium Open","25"
"28/06/2015","3:59:29 PM","green1 scribblygum","-25.57358718","153.0737309","153.600006103516","Medium Open","30"
"28/06/2015","3:59:41 PM","green1 scribblygum","-25.57358731","153.07373095","153.600006103516","Medium Open","23"
"28/06/2015","4:00:54 PM","green1 scribblygum","-25.57378734","153.07375056","157.300003051758","Medium Open","30"
