Date,Time,Group name, Quadrat size,Vegetation type,data entry,Quadrat #,Tallest tree,foliage cover,ground cover,litter depth,DBH,small trees,Latitude,Longitude,Shrub size,Shrub count,DBH>10,Acacia,Angophora,Araucaria,Banksia,Callitris,Casuarina,Eucalyptus,Lophostemon,Melaleuca,Syncarpia,Spider Hole
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,8
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,Dominant Trees,,13,,,,,,,,,,,,,,TRUE,,TRUE,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,Vegetation Assessment,1,,40,20,4,,,,,,,,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,Vegetation Assessment,2,,40,50,10,,,,,,,,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,Vegetation Assessment,3,,25,30,10,,,,,,,,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,Vegetation Assessment,4,,40,10,5,,,,,,,,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,Count small trees (trunk<10cms),,,,,,,135,,,0-2m,30,,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,107,,,,0-2m,30,Casuarina,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,75,,,,0-2m,30,Banksia,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,75,,,,0-2m,30,Banksia,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,97,,,,0-2m,30,Banksia,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,133,,,,0-2m,30,Banksia,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,75,,,,0-2m,30,Banksia,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,112,,,,0-2m,30,Banksia,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,125,,,,0-2m,30,Casuarina,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,81,,,,0-2m,30,Casuarina,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,73,,,,0-2m,30,Casuarina,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,36,,,,0-2m,30,Casuarina,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,154,,,,0-2m,30,Banksia,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,100,,,,0-2m,30,Banksia,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,71,,,,0-2m,30,Casuarina,,,,,,,,,,,
27/06/2015,1:03:27 PM,Spider Heaven Blue,20x20,,DBH when trunk >10cms,,,,,,52,,,,0-2m,30,Eliandre,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
