Date,Time,Group name, Quadrat size,Vegetation type,data entry,Quadrat #,Tallest tree,foliage cover,ground cover,litter depth,DBH,small trees,Latitude,Longitude,Shrub size,Shrub count,DBH>10,Acacia,Angophora,Araucaria,Banksia,Callitris,Casuarina,Eucalyptus,Lophostemon,Melaleuca,Syncarpia,Spider Hole
28/06/2015,10:42:39 AM,green scribbly gum,,,,,,,,,,,-25.58966865,153.0839149,,,,,,,,,,,,,,
28/06/2015,10:45:29 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,149,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,10:46:57 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,43,,,,,,Banksia,,,,,,,,,,,
28/06/2015,10:49:02 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,54,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,10:49:36 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,31,,,,,,Banksia,,,,,,,,,,,
28/06/2015,10:50:12 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,137,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,11:08:29 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,129,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,11:09:07 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,42,,,,,,Ericaceae,,,,,,,,,,,
28/06/2015,11:09:58 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,54,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,11:10:45 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,39,,,,,,Ericaceae,,,,,,,,,,,
28/06/2015,11:11:09 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,39,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,11:11:23 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,46,,,,,,Banksia,,,,,,,,,,,
28/06/2015,11:11:52 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,99,,,,,,Banksia,,,,,,,,,,,
28/06/2015,11:12:16 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,105,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,11:12:44 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,140,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,11:13:16 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,69,,,,,,Ericaceae,,,,,,,,,,,
28/06/2015,11:13:54 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,60,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,2:58:52 PM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,,,-25.55725127,153.0675506,,,,,,,,,,,,,,
28/06/2015,2:59:34 PM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,,,-25.55723469,153.0675692,,,,,,,,,,,,,,
28/06/2015,3:07:55 PM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,,,-25.55731954,153.066459,,,,,,,,,,,,,,
28/06/2015,3:09:40 PM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,,,-25.55732534,153.0664348,,,,,,,,,,,,,,
28/06/2015,1:57:24 PM,yellow,,,,,,,,,,,-25.45915738,153.0160345,,,,,,,,,,,,,,
28/06/2015,1:59:47 PM,yellow,10x10m,,Vegetation Assessment,1,,15,5,10,,,,,,,,,,,,,,,,,,
28/06/2015,2:01:20 PM,yellow,10x10m,,Vegetation Assessment,2,,35,2,8,,,,,,,,,,,,,,,,,,
28/06/2015,2:02:26 PM,yellow,10x10m,,Vegetation Assessment,3,,2,3,15,,,,,,,,,,,,,,,,,,
28/06/2015,2:03:37 PM,yellow,10x10m,,Vegetation Assessment,4,,50,7,10,,,,,,,,,,,,,,,,,,
28/06/2015,1:27:45 PM,gsdf,,,,,,,,,,,-25.4474334,152.988422,,,,,,,,,,,,,,
28/06/2015,1:53:01 PM,gsdf,,,,,,,,,,,,,,,,,,,,,,,,,,
28/06/2015,1:55:02 PM,gsdf,,,,,,,,,,,-25.45915464,153.0160279,,,,,,,,,,,,,,
28/06/2015,1:57:40 PM,yellow,,,,,,,,,,,-25.45932267,153.0160952,,,,,,,,,,,,,,
28/06/2015,2:00:42 PM,yellow,10x10m,,Dominant Trees,,20,,,,,,-25.58971981,153.0841375,,,,,,,TRUE,,,TRUE,,,,
28/06/2015,2:01:55 PM,yellow,10x10m,,Shrubs,,,,,,,,,,2-8m,2,,,,,,,,,,,,
28/06/2015,10:22:18 AM,green scribbly gum,,,,,,,,,,,-25.58971981,153.0841375,,,,,,,,,,,,,,
28/06/2015,6:04:22 PM,green scribbly gum,20x20m,,Dominant Trees,,9,,,,,,,,,,,,,,,,,TRUE,,,,
28/06/2015,6:01:32 PM,green scribbly gum,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,1
28/06/2015,6:08:12 PM,green scribbly gum,20x20m,,Shrubs,,,,,,,,,,0-2m,0,,,,,,,,,,,,
28/06/2015,10:38:40 AM,green scribbly gum,20x20m,,Vegetation Assessment,1,,48,85,5,,,,,,,,,,,,,,,,,,
28/06/2015,10:42:01 AM,green scribbly gum,20x20m,,Vegetation Assessment,2,,55,70,4,,,,,,,,,,,,,,,,,,
28/06/2015,10:45:47 AM,green scribbly gum,20x20m,,Vegetation Assessment,3,,60,75,10,,,,,,,,,,,,,,,,,,
28/06/2015,10:47:35 AM,green scribbly gum,20x20m,,Vegetation Assessment,4,,65,55,12,,,,,,,,,,,,,,,,,,
28/06/2015,12:35:11 PM,green scribbly gum,,,,,,,,,,,-25.57600414,153.0736132,,,,,,,,,,,,,,
28/06/2015,1:03:28 PM,green scribbly gum,,,,,,,,,,,-25.57584788,153.0736525,,,,,,,,,,,,,,
28/06/2015,1:53:13 PM,yellow,,,,,,,,,,,-25.45914891,153.0159905,,,,,,,,,,,,,,
28/06/2015,2:03:19 PM,yellow,10x10m,,DBH when trunk >10cms,,,,,,150,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,2:06:24 PM,yellow,10x10m,,DBH when trunk >10cms,,,,,,89,,,,,,Banksia,,,,,,,,,,,
28/06/2015,2:07:16 PM,yellow,10x10m,,DBH when trunk >10cms,,,,,,111,,,,,,Callitris,,,,,,,,,,,
28/06/2015,2:07:51 PM,yellow,10x10m,,DBH when trunk >10cms,,,,,,65,,,,,,Banksia,,,,,,,,,,,
28/06/2015,2:08:09 PM,yellow,10x10m,,DBH when trunk >10cms,,,,,,84,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,2:09:10 PM,yellow,10x10m,,DBH when trunk >10cms,,,,,,51,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,2:09:21 PM,yellow,10x10m,,DBH when trunk >10cms,,,,,,53,,,,,,Banksia,,,,,,,,,,,
28/06/2015,2:10:44 PM,yellow,10x10m,,DBH when trunk >10cms,,,,,,41,,,,,,Eucalyptus,,,,,,,,,,,
28/06/2015,2:11:14 PM,yellow,10x10m,,DBH when trunk >10cms,,,,,,108,,,,,,Banksia,,,,,,,,,,,
28/06/2015,2:02:00 PM,yellow,,,,,,,,,,,-25.45912247,153.0159995,,,,,,,,,,,,,,
28/06/2015,2:02:06 PM,yellow,10x10m,,Count small trees (trunk<10cms),,,,,,,10,,,,,,,,,,,,,,,,
