Date,Time,Group name, Quadrat size,Vegetation type,data entry,Quadrat #,Tallest tree,foliage cover,ground cover,litter depth,DBH,small trees,Latitude,Longitude,Shrub size,Shrub count,DBH>10,Acacia,Angophora,Araucaria,Banksia,Callitris,Casuarina,Eucalyptus,Lophostemon,Melaleuca,Syncarpia,Spider Hole
28/06/2015,5:55:27 PM,green spider heaven,,,,,,,,,,,,,,,,,,,,,,,,,,
28/06/2015,5:56:04 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,25
28/06/2015,5:56:11 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,30
28/06/2015,5:56:15 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,25
28/06/2015,5:56:18 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,23
28/06/2015,5:56:26 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,10
28/06/2015,5:56:29 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,15
28/06/2015,5:56:33 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,2.6
28/06/2015,5:56:42 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,29
28/06/2015,5:56:47 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,19
28/06/2015,5:56:51 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,21
28/06/2015,5:57:16 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,30
28/06/2015,5:57:29 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,25
28/06/2015,5:57:40 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,6
28/06/2015,5:57:44 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,24
28/06/2015,5:57:47 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,17
28/06/2015,5:57:52 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,30
28/06/2015,5:57:56 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,35
28/06/2015,5:58:14 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,28
28/06/2015,5:58:18 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,25
28/06/2015,5:58:20 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,15
28/06/2015,5:58:23 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,17
28/06/2015,5:58:25 PM,green spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,11
