"Date","Time","Group name"," Quadrat size","Vegetation type","data entry","Quadrat #","Tallest tree","foliage cover","ground cover","litter depth","DBH","small trees","Latitude","Longitude","Shrub size","Shrub count","DBH>10","Acacia","Angophora","Araucaria","Banksia","Callitris","Casuarina","Eucalyptus","Lophostemon","Melaleuca","Syncarpia","Spider Hole"
"29/06/2015","1:25:41 PM","Cass","","","","","","","","","","","-25.44686231","152.9892897","","","","","","","","","","","","","",""
"29/06/2015","1:38:33 PM","Cass","10x10m","","Spider Holes","","","","","","","","","","","","","","","","","","","","","","","0"
"29/06/2015","1:41:48 PM","Cass","10x10m","","Dominant Trees","","20","","","","","","-25.45934513","153.01582724","","","","","","","True","","True","","","","",""
"29/06/2015","1:42:51 PM","Cass","10x10m","","Vegetation Assessment","1","","37","10","10","","","","","","","","","","","","","","","","","",""
"29/06/2015","1:43:34 PM","Cass","10x10m","","Vegetation Assessment","2","","50","15","10","","","","","","","","","","","","","","","","","",""
"29/06/2015","1:43:49 PM","Cass","10x10m","","Vegetation Assessment","3","","25","5","10","","","","","","","","","","","","","","","","","",""
"29/06/2015","1:44:06 PM","Cass","10x10m","","Vegetation Assessment","4","","40","10","10","","","","","","","","","","","","","","","","","",""
"29/06/2015","1:44:29 PM","Cass","10x10m","","Shrubs","","","","","","","","","","0-2m","5","","","","","","","","","","","",""
"29/06/2015","1:44:54 PM","Cass","10x10m","","Count small trees (trunk<10cms)","","","","","","","1","","","","","","","","","","","","","","","",""
"29/06/2015","1:45:49 PM","Cass","10x10m","","DBH when trunk >10cms","","","","","","53","","","","","","Casuarina","","","","","","","","","","",""
"29/06/2015","1:45:57 PM","Cass","10x10m","","DBH when trunk >10cms","","","","","","72","","","","","","Banksia","","","","","","","","","","",""
"29/06/2015","1:47:03 PM","Cass","10x10m","","DBH when trunk >10cms","","","","","","63","","","","","","Callitris","","","","","","","","","","",""
"29/06/2015","1:47:09 PM","Cass","10x10m","","DBH when trunk >10cms","","","","","","91","","","","","","Eucalyptus","","","","","","","","","","",""
"29/06/2015","1:47:20 PM","Cass","10x10m","","DBH when trunk >10cms","","","","","","49","","","","","","Casuarina","","","","","","","","","","",""
