Date,Time,Group name, Quadrat size,Vegetation type,data entry,Quadrat #,Tallest tree,foliage cover,ground cover,litter depth,DBH,small trees,Latitude,Longitude,Shrub size,Shrub count,DBH>10,Acacia,Angophora,Araucaria,Banksia,Callitris,Casuarina,Eucalyptus,Lophostemon,Melaleuca,Syncarpia,Spider Hole
29/06/2015,12:12:51 PM,Red group spider heaven,,,,,,,,,,,-25.57574655,153.0732096,,,,,,,,,,,,,,
29/06/2015,12:24:40 PM,Red group spider heaven,20x20m,,Vegetation Assessment,1,,68,1,6,,,,,,,,,,,,,,,,,,
29/06/2015,12:28:11 PM,Red group spider heaven,20x20m,,Vegetation Assessment,2,,62,7,40,,,,,,,,,,,,,,,,,,
29/06/2015,12:32:32 PM,Red group spider heaven,20x20m,,Vegetation Assessment,3,,55,8,30,,,,,,,,,,,,,,,,,,
29/06/2015,12:35:17 PM,Red group spider heaven,20x20m,,Vegetation Assessment,4,,52,8,35,,,,,,,,,,,,,,,,,,
29/06/2015,12:40:42 PM,Red group spider heaven,20x20m,,Shrubs,,,,,,,,,,0-2m,51,,,,,,,,,,,,
29/06/2015,12:40:56 PM,Red group spider heaven,20x20m,,Count small trees (trunk<10cms),,,,,,,104,,,,,,,,,,,,,,,,
29/06/2015,12:44:26 PM,Red group spider heaven,20x20m,,Dominant Trees,,30,,,,,,-25.57565183,153.0736881,,,,,,,TRUE,,,TRUE,,,,
29/06/2015,12:45:15 PM,Red group spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,40
29/06/2015,12:45:42 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,79,,,,,,Banksia,,,,,,,,,,,
29/06/2015,12:45:50 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,61,,,,,,Banksia,,,,,,,,,,,
29/06/2015,12:46:03 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,47,,,,,,Syncarpia,,,,,,,,,,,
29/06/2015,12:47:11 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,86,,,,,,Eucalyptus,,,,,,,,,,,
29/06/2015,12:47:22 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,105,,,,,,Eucalyptus,,,,,,,,,,,
29/06/2015,12:48:12 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,78,,,,,,Banksia,,,,,,,,,,,
29/06/2015,12:48:19 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,158,,,,,,Eucalyptus,,,,,,,,,,,
29/06/2015,12:48:23 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,62,,,,,,Eucalyptus,,,,,,,,,,,
29/06/2015,12:48:30 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,78,,,,,,Banksia,,,,,,,,,,,
29/06/2015,12:48:33 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,69,,,,,,Banksia,,,,,,,,,,,
29/06/2015,12:48:37 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,91,,,,,,Banksia,,,,,,,,,,,
29/06/2015,12:48:39 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,73,,,,,,Banksia,,,,,,,,,,,
29/06/2015,12:48:58 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,160,,,,,,Eucalyptus,,,,,,,,,,,
29/06/2015,12:49:02 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,45,,,,,,Syncarpia,,,,,,,,,,,
29/06/2015,12:49:09 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,66,,,,,,Syncarpia,,,,,,,,,,,
29/06/2015,12:49:13 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,35,,,,,,Syncarpia,,,,,,,,,,,
29/06/2015,12:49:16 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,77,,,,,,Banksia,,,,,,,,,,,
29/06/2015,12:49:21 PM,Red group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,236,,,,,,Eucalyptus,,,,,,,,,,,
