Date,Time,Group name, Quadrat size,Vegetation type,data entry,Quadrat #,Tallest tree,foliage cover,ground cover,litter depth,DBH,small trees,Latitude,Longitude,Shrub size,Shrub count,DBH>10,Acacia,Angophora,Araucaria,Banksia,Callitris,Casuarina,Eucalyptus,Lophostemon,Melaleuca,Syncarpia,Spider Hole
30/06/2015,11:25:49 AM,Yellow group spider heaven,,,,,,,,,,,-25.57375396,153.0737237,,,,,,,,,,,,,,
30/06/2015,11:35:13 AM,Yellow group spider heaven,20x20m,,Vegetation Assessment,1,,50,20,3,,,,,,,,,,,,,,,,,,
30/06/2015,11:38:49 AM,Yellow group spider heaven,20x20m,,Vegetation Assessment,2,,70,10,10,,,,,,,,,,,,,,,,,,
30/06/2015,11:41:12 AM,Yellow group spider heaven,20x20m,,Vegetation Assessment,3,,70,5,3,,,,,,,,,,,,,,,,,,
30/06/2015,11:43:43 AM,Yellow group spider heaven,20x20m,,Vegetation Assessment,4,,60,23,12,,,,,,,,,,,,,,,,,,
30/06/2015,11:58:45 AM,Yellow group spider heaven,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,35
30/06/2015,12:02:07 PM,Yellow group spider heaven,20x20m,,Shrubs,,,,,,,,,,0-2m,32,,,,,,,,,,,,
30/06/2015,12:02:24 PM,Yellow group spider heaven,20x20m,,Shrubs,,,,,,,,,,2-8m,94,,,,,,,,,,,,
30/06/2015,12:03:15 PM,Yellow group spider heaven,20x20m,,Count small trees (trunk<10cms),,,,,,,55,,,,,,,,,,,,,,,,
30/06/2015,12:03:59 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,71,,,,,,Banksia,,,,,,,,,,,
30/06/2015,12:04:06 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,62,,,,,,Casuarina,,,,,,,,,,,
30/06/2015,12:04:21 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,31,,,,,,,,,,,,,,,,,
30/06/2015,12:04:27 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,104,,,,,,Casuarina,,,,,,,,,,,
30/06/2015,12:04:44 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,63.5,,,,,,,,,,,,,,,,,
30/06/2015,12:04:52 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,147,,,,,,Eucalyptus,,,,,,,,,,,
30/06/2015,12:04:56 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,32,,,,,,Casuarina,,,,,,,,,,,
30/06/2015,12:05:00 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,78,,,,,,Banksia,,,,,,,,,,,
30/06/2015,12:05:03 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,55,,,,,,Banksia,,,,,,,,,,,
30/06/2015,12:05:07 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,31,,,,,,Casuarina,,,,,,,,,,,
30/06/2015,12:05:12 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,56,,,,,,,,,,,,,,,,,
30/06/2015,12:05:15 PM,Yellow group spider heaven,20x20m,,DBH when trunk >10cms,,,,,,45,,,,,,Casuarina,,,,,,,,,,,
