Date,Time,Group name, Quadrat size,Vegetation type,data entry,Quadrat #,Tallest tree,foliage cover,ground cover,litter depth,DBH,small trees,Latitude,Longitude,Shrub size,Shrub count,DBH>10,Acacia,Angophora,Araucaria,Banksia,Callitris,Casuarina,Eucalyptus,Lophostemon,Melaleuca,Syncarpia,Spider Hole
30/06/2015,1:02:41 PM,Yellow group lake,,,,,,,,,,,-25.55945722,153.0688143,,,,,,,,,,,,,,
30/06/2015,1:07:29 PM,Yellow group lake,20x20m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,5
30/06/2015,1:32:37 PM,Yellow group lake,20x20m,,Dominant Trees,,34,,,,,,-25.55939412,153.0687786,,,,,,,TRUE,,TRUE,TRUE,,,,
30/06/2015,1:33:55 PM,Yellow group lake,20x20m,,Vegetation Assessment,1,,25,5,4,,,,,,,,,,,,,,,,,,
30/06/2015,1:34:28 PM,Yellow group lake,20x20m,,Vegetation Assessment,2,,60,35,1,,,,,,,,,,,,,,,,,,
30/06/2015,1:35:44 PM,Yellow group lake,20x20m,,Vegetation Assessment,3,,45,2,2,,,,,,,,,,,,,,,,,,
30/06/2015,1:37:00 PM,Yellow group lake,20x20m,,Vegetation Assessment,4,,50,15,2,,,,,,,,,,,,,,,,,,
30/06/2015,1:42:08 PM,Yellow group lake,20x20m,,Shrubs,,,,,,,,,,0-2m,2,,,,,,,,,,,,
30/06/2015,1:42:13 PM,Yellow group lake,20x20m,,Count small trees (trunk<10cms),,,,,,,5,,,,,,,,,,,,,,,,
30/06/2015,1:45:05 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,48,,,,,,Eucalyptus,,,,,,,,,,,
30/06/2015,1:45:18 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,48,,,,,,Eucalyptus,,,,,,,,,,,
30/06/2015,1:45:27 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,146,,,,,,Eucalyptus,,,,,,,,,,,
30/06/2015,1:46:20 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,250,,,,,,Eucalyptus,,,,,,,,,,,
30/06/2015,1:46:34 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,84.5,,,,,,Eucalyptus,,,,,,,,,,,
30/06/2015,1:46:52 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,36,,,,,,Casuarina,,,,,,,,,,,
30/06/2015,1:47:43 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,181,,,,,,Eucalyptus,,,,,,,,,,,
30/06/2015,1:48:00 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,74.2,,,,,,Casuarina,,,,,,,,,,,
30/06/2015,1:48:08 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,41.5,,,,,,Casuarina,,,,,,,,,,,
30/06/2015,1:48:32 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,119,,,,,,Banksia,,,,,,,,,,,
30/06/2015,1:48:44 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,39.6,,,,,,Casuarina,,,,,,,,,,,
30/06/2015,1:49:18 PM,Yellow group lake,20x20m,,DBH when trunk >10cms,,,,,,70.5,,,,,,Casuarina,,,,,,,,,,,
