Date,Time,Group name, Quadrat size,Vegetation type,data entry,Quadrat #,Tallest tree,foliage cover,ground cover,litter depth,DBH,small trees,Latitude,Longitude,Shrub size,Shrub count,DBH>10,Acacia,Angophora,Araucaria,Banksia,Callitris,Casuarina,Eucalyptus,Lophostemon,Melaleuca,Syncarpia,Spider Hole
2/07/2015,12:47:10 PM,blue group spider heaven post sandblow,,,,,,,,,,,-25.56951473,153.0724658,,,,,,,,,,,,,,
2/07/2015,12:51:51 PM,blue group spider heaven post sandblow,10x10m,,Vegetation Assessment,1,,80,5,5,,,,,,,,,,,,,,,,,,
2/07/2015,12:54:20 PM,blue group spider heaven post sandblow,10x10m,,Vegetation Assessment,2,,60,20,20,,,,,,,,,,,,,,,,,,
2/07/2015,12:57:09 PM,blue group spider heaven post sandblow,10x10m,,Vegetation Assessment,3,,55,5,10,,,,,,,,,,,,,,,,,,
2/07/2015,12:59:56 PM,blue group spider heaven post sandblow,10x10m,,Vegetation Assessment,4,,50,30,20,,,,,,,,,,,,,,,,,,
2/07/2015,1:12:11 PM,blue group spider heaven post sandblow,10x10m,,Dominant Trees,,13,,,,,,-25.56948091,153.0724242,,,,,,,TRUE,,TRUE,TRUE,,,,
2/07/2015,1:12:34 PM,blue group spider heaven post sandblow,10x10m,,Shrubs,,,,,,,,,,2-8m,0,,,,,,,,,,,,
2/07/2015,1:12:45 PM,blue group spider heaven post sandblow,10x10m,,Count small trees (trunk<10cms),,,,,,,30,,,0-2m,17,,,,,,,,,,,,
2/07/2015,1:13:00 PM,blue group spider heaven post sandblow,10x10m,,DBH when trunk >10cms,,,,,,49,,,,0-2m,17,Casuarina,,,,,,,,,,,
2/07/2015,1:13:06 PM,blue group spider heaven post sandblow,10x10m,,DBH when trunk >10cms,,,,,,105,,,,0-2m,17,Banksia,,,,,,,,,,,
2/07/2015,1:13:11 PM,blue group spider heaven post sandblow,10x10m,,DBH when trunk >10cms,,,,,,57,,,,0-2m,17,Casuarina,,,,,,,,,,,
2/07/2015,1:13:16 PM,blue group spider heaven post sandblow,10x10m,,DBH when trunk >10cms,,,,,,90,,,,0-2m,17,Banksia,,,,,,,,,,,
2/07/2015,1:13:20 PM,blue group spider heaven post sandblow,10x10m,,DBH when trunk >10cms,,,,,,35,,,,0-2m,17,Banksia,,,,,,,,,,,
2/07/2015,1:13:25 PM,blue group spider heaven post sandblow,10x10m,,DBH when trunk >10cms,,,,,,67,,,,0-2m,17,Banksia,,,,,,,,,,,
2/07/2015,1:13:30 PM,blue group spider heaven post sandblow,10x10m,,DBH when trunk >10cms,,,,,,38,,,,0-2m,17,Casuarina,,,,,,,,,,,
