Date,Time,Group name, Quadrat size,Vegetation type,data entry,Quadrat #,Tallest tree,foliage cover,ground cover,litter depth,DBH,small trees,Latitude,Longitude,Shrub size,Shrub count,DBH>10,Acacia,Angophora,Araucaria,Banksia,Callitris,Casuarina,Eucalyptus,Lophostemon,Melaleuca,Syncarpia,Spider Hole
3/07/2015,9:22:38 AM,green scribbly gum,,,,,,,,,,,-25.58854764,153.0836825,,,,,,,,,,,,,,
3/07/2015,9:59:43 AM,green scribbly gum,20x20m,,Dominant Trees,,21,,,,,,-25.58826349,153.0836538,,,,,,,,,,TRUE,,,,
3/07/2015,10:05:20 AM,green scribbly gum,20x20m,,Vegetation Assessment,1,,60,5,9,,,,,,,,,,,,,,,,,,
3/07/2015,10:07:57 AM,green scribbly gum,20x20m,,Vegetation Assessment,2,,38,14,15,,,,,,,,,,,,,,,,,,
3/07/2015,10:09:55 AM,green scribbly gum,20x20m,,Vegetation Assessment,3,,55,30,15,,,,,,,,,,,,,,,,,,
3/07/2015,10:11:36 AM,green scribbly gum,20x20m,,Vegetation Assessment,4,,55,40,20,,,,,,,,,,,,,,,,,,
3/07/2015,10:26:53 AM,green scribbly gum,20x20m,,Shrubs,,,,,,,,,,0-2m,1,,,,,,,,,,,,
3/07/2015,10:27:35 AM,green scribbly gum,20x20m,,Shrubs,,,,,,,,,,2-8m,1,,,,,,,,,,,,
3/07/2015,9:08:05 AM,green scribbly gum,10x10m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,0
3/07/2015,10:27:42 AM,green scribbly gum,20x20m,,Count small trees (trunk<10cms),,,,,,,14,,,,,,,,,,,,,,,,
3/07/2015,10:30:31 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,196,,,,,,Eucalyptus,,,,,,,,,,,
3/07/2015,10:32:07 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,126,,,,,,Eucalyptus,,,,,,,,,,,
3/07/2015,10:33:47 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,38,,,,,,Eucalyptus,,,,,,,,,,,
3/07/2015,10:34:54 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,225,,,,,,Eucalyptus,,,,,,,,,,,
3/07/2015,10:34:59 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,223,,,,,,Eucalyptus,,,,,,,,,,,
3/07/2015,10:35:07 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,151,,,,,,Eucalyptus,,,,,,,,,,,
3/07/2015,10:35:12 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,80,,,,,,Eucalyptus,,,,,,,,,,,
3/07/2015,10:35:18 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,90,,,,,,Eucalyptus,,,,,,,,,,,
3/07/2015,10:35:23 AM,green scribbly gum,20x20m,,DBH when trunk >10cms,,,,,,170,,,,,,Eucalyptus,,,,,,,,,,,
3/07/2015,8:48:51 AM,yellow,,,,,,,,,,,-25.45917185,153.0159657,,,,,,,,,,,,,,
3/07/2015,8:51:37 AM,yellow,10x10m,,Vegetation Assessment,1,,20,5,2,,,,,,,,,,,,,,,,,,
3/07/2015,8:53:52 AM,yellow,,,,,,,,,,,-25.45916245,153.0159521,,,,,,,,,,,,,,
3/07/2015,9:04:55 AM,yellow,10x10m,,Dominant Trees,,20,,,,,,-25.45927034,153.0159607,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,
3/07/2015,9:06:37 AM,yellow,10x10m,,DBH when trunk >10cms,,,,,,42,,,,,,Lophostemon,,,,,,,,,,,
3/07/2015,9:06:49 AM,yellow,10x10m,,DBH when trunk >10cms,,,,,,71,,,,,,Banksia,,,,,,,,,,,
3/07/2015,9:06:54 AM,yellow,10x10m,,DBH when trunk >10cms,,,,,,41,,,,,,Banksia,,,,,,,,,,,
3/07/2015,9:07:02 AM,yellow,10x10m,,DBH when trunk >10cms,,,,,,72,,,,,,Lophostemon,,,,,,,,,,,
3/07/2015,9:07:08 AM,yellow,10x10m,,DBH when trunk >10cms,,,,,,100,,,,,,Lophostemon,,,,,,,,,,,
3/07/2015,9:07:22 AM,yellow,10x10m,,DBH when trunk >10cms,,,,,,70,,,,,,Lophostemon,,,,,,,,,,,
3/07/2015,9:07:28 AM,yellow,10x10m,,DBH when trunk >10cms,,,,,,53,,,,,,Casuarina,,,,,,,,,,,
3/07/2015,9:07:32 AM,yellow,10x10m,,DBH when trunk >10cms,,,,,,55,,,,,,Casuarina,,,,,,,,,,,
3/07/2015,9:07:38 AM,yellow,10x10m,,DBH when trunk >10cms,,,,,,46,,,,,,Lophostemon,,,,,,,,,,,
3/07/2015,9:09:29 AM,yellow,10x10m,,DBH when trunk >10cms,,,,,,100,,,,,,,,,,,,,,,,,
3/07/2015,9:10:15 AM,yellow,10x10m,,Count small trees (trunk<10cms),,,,,,,7,,,,,,,,,,,,,,,,
3/07/2015,9:11:27 AM,yellow,,,,,,,,,,,-25.45933156,153.0160064,,,,,,,,,,,,,,
3/07/2015,8:49:56 AM,yellow,,,,,,,,,,,-25.45906595,153.0160865,,,,,,,,,,,,,,
3/07/2015,9:06:58 AM,yellow,10x10m,,Vegetation Assessment,1,,50,15,10,,,,,,,,,,,,,,,,,,
3/07/2015,9:07:20 AM,yellow,10x10m,,Vegetation Assessment,2,,30,23,17,,,,,,,,,,,,,,,,,,
3/07/2015,9:07:34 AM,yellow,10x10m,,Vegetation Assessment,3,,80,25,13,,,,,,,,,,,,,,,,,,
3/07/2015,9:07:47 AM,yellow,10x10m,,Vegetation Assessment,4,,75,15,18,,,,,,,,,,,,,,,,,,
3/07/2015,9:08:05 AM,yellow,10x10m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,0
3/07/2015,9:08:17 AM,yellow,10x10m,,Shrubs,,,,,,,,,,0-2m,37,,,,,,,,,,,,
