Date,Time,Group name, Quadrat size,Vegetation type,data entry,Quadrat #,Tallest tree,foliage cover,ground cover,litter depth,DBH,small trees,Latitude,Longitude,Shrub size,Shrub count,DBH>10,Acacia,Angophora,Araucaria,Banksia,Callitris,Casuarina,Eucalyptus,Lophostemon,Melaleuca,Syncarpia,Spider Hole
4/07/2015,11:13:47 AM,red group spider heaven,,,,,,,,,,,-25.5732316,153.0737381,,,,,,,,,,,,,,
4/07/2015,11:19:59 AM,red group spider heaven,10x10m,,Vegetation Assessment,1,,67,40,7,,,,,,,,,,,,,,,,,,
4/07/2015,11:23:00 AM,red group spider heaven,10x10m,,Vegetation Assessment,2,,50,27,5,,,,,,,,,,,,,,,,,,
4/07/2015,11:26:22 AM,red group spider heaven,10x10m,,Vegetation Assessment,3,,70,5,10,,,,,,,,,,,,,,,,,,
4/07/2015,11:28:50 AM,red group spider heaven,10x10m,,Vegetation Assessment,4,,80,7,5,,,,,,,,,,,,,,,,,,
4/07/2015,11:31:13 AM,red group spider heaven,10x10m,,Spider Holes,,,,,,,,,,,,,,,,,,,,,,,48
4/07/2015,11:36:36 AM,red group spider heaven,10x10m,,Dominant Trees,,22,,,,,,-25.57324956,153.0736932,,,,,TRUE,,TRUE,,TRUE,,,,,
4/07/2015,11:36:56 AM,red group spider heaven,10x10m,,Shrubs,,,,,,,,,,0-2m,10,,,,,,,,,,,,
4/07/2015,11:37:01 AM,red group spider heaven,10x10m,,Shrubs,,,,,,,,,,2-8m,16,,,,,,,,,,,,
4/07/2015,11:37:09 AM,red group spider heaven,10x10m,,Count small trees (trunk<10cms),,,,,,,49,,,,,,,,,,,,,,,,
4/07/2015,11:37:41 AM,red group spider heaven,10x10m,,DBH when trunk >10cms,,,,,,53,,,,,,Casuarina,,,,,,,,,,,
4/07/2015,11:37:47 AM,red group spider heaven,10x10m,,DBH when trunk >10cms,,,,,,49,,,,,,Casuarina,,,,,,,,,,,
4/07/2015,11:37:50 AM,red group spider heaven,10x10m,,DBH when trunk >10cms,,,,,,66,,,,,,Banksia,,,,,,,,,,,
4/07/2015,11:37:57 AM,red group spider heaven,10x10m,,DBH when trunk >10cms,,,,,,325,,,,,,Casuarina,,,,,,,,,,,
4/07/2015,11:38:03 AM,red group spider heaven,10x10m,,DBH when trunk >10cms,,,,,,33,,,,,,Eucalyptus,,,,,,,,,,,
4/07/2015,11:38:10 AM,red group spider heaven,10x10m,,DBH when trunk >10cms,,,,,,183,,,,,,Casuarina,,,,,,,,,,,
4/07/2015,11:38:14 AM,red group spider heaven,10x10m,,DBH when trunk >10cms,,,,,,38,,,,,,Casuarina,,,,,,,,,,,
4/07/2015,11:15:23 AM,red group spider heaven,,,,,,,,,,,-25.57329785,153.0735751,,,,,,,,,,,,,,
